user,item,rating,timestamp,feature
0,0,4.8,2020-04-13T15:06:14,7499
1,1,3.3,2020-04-13T15:06:15,3799
2,2,2.6,2020-04-13T15:06:15,599
3,3,4.1,2020-04-13T15:06:15,3499
4,4,3.5,2020-04-13T15:06:15,3999
5,5,1.0,2020-04-13T15:06:15,1920
5,6,4.4,2020-04-13T15:06:15,2399
2,7,2.8,2020-04-13T15:06:15,599
6,8,4.5,2020-04-13T15:06:15,2799
7,9,4.0,2020-04-13T15:06:15,3959
8,10,2.7,2020-04-13T15:06:16,4559
9,11,4.2,2020-04-13T15:06:16,3959
10,12,2.6,2020-04-13T15:06:16,2999
11,13,3.1,2020-04-13T15:06:16,4559
12,14,3.2,2020-04-13T15:06:16,3999
13,15,3.1,2020-04-13T15:06:16,2999
14,16,1.0,2020-04-13T15:06:16,2299
15,17,3.1,2020-04-13T15:06:16,1999
16,18,2.7,2020-04-13T15:06:16,1649
17,19,3.8,2020-04-13T15:06:16,2149
10,20,5.0,2020-04-13T15:06:16,2799
18,21,3.7,2020-04-13T15:06:17,2149
19,22,3.9,2020-04-13T15:06:17,2279
20,23,4.4,2020-04-13T15:06:17,3299
19,24,3.6,2020-04-13T15:06:17,1899
21,25,2.7,2020-04-13T15:06:17,1979
19,26,3.2,2020-04-13T15:06:17,2279
18,27,4.9,2020-04-13T15:06:17,2149
22,28,5.0,2020-04-13T15:06:18,3359
21,29,3.6,2020-04-13T15:06:18,1979
23,30,2.2,2020-04-13T15:06:18,1979
21,31,3.9,2020-04-13T15:06:18,1979
23,32,3.4,2020-04-13T15:06:18,1979
24,33,3.3,2020-04-13T15:06:18,3359
15,34,4.8,2020-04-13T15:06:18,2399
25,35,3.6,2020-04-13T15:06:18,3359
26,36,4.1,2020-04-13T15:06:18,2759
25,37,3.6,2020-04-13T15:06:18,3359
27,38,2.5,2020-04-13T15:06:18,5159
28,39,2.7,2020-04-13T15:06:18,3959
28,40,2.5,2020-04-13T15:06:18,3959
20,41,1.5,2020-04-13T15:06:19,3959
29,42,2.6,2020-04-13T15:06:19,4559
30,43,5.0,2020-04-13T15:06:19,3359
3,44,4.5,2020-04-13T15:06:19,4199
31,45,3.9,2020-04-13T15:06:19,3359
32,46,3.2,2020-04-13T15:06:19,2999
33,47,3.9,2020-04-13T15:06:19,2999
34,48,2.0,2020-04-13T15:06:19,1979
33,49,1.0,2020-04-13T15:06:19,2999
35,50,3.3,2020-04-13T15:06:19,4199
20,51,4.1,2020-04-13T15:06:19,3959
36,52,4.4,2020-04-13T15:06:19,7199
37,53,4.8,2020-04-13T15:06:19,4799
38,54,3.5,2020-04-13T15:06:19,1349
39,55,4.0,2020-04-13T15:06:19,4799
30,56,4.8,2020-04-13T15:06:19,3359
37,57,4.5,2020-04-13T15:06:20,4799
31,58,4.7,2020-04-13T15:06:20,3359
40,59,3.8,2020-04-13T15:06:20,2000
41,60,1.5,2020-04-13T15:06:20,2149
42,61,0.0,2020-04-13T15:06:20,2999
43,62,4.8,2020-04-13T15:06:20,2999
44,63,4.4,2020-04-13T15:06:20,2399
45,64,3.0,2020-04-13T15:06:20,2299
46,65,3.9,2020-04-13T15:06:20,3599
47,66,4.0,2020-04-13T15:06:20,4799
48,67,4.3,2020-04-13T15:06:20,2399
49,68,4.3,2020-04-13T15:06:20,2299
50,69,3.7,2020-04-13T15:06:20,2999
51,70,4.3,2020-04-13T15:06:20,4559
52,71,1.5,2020-04-13T15:06:20,779
53,72,2.8,2020-04-13T15:06:20,1399
49,73,5.0,2020-04-13T15:06:20,2299
54,74,4.9,2020-04-13T15:06:20,7999
55,75,4.0,2020-04-13T15:06:20,3999
56,76,4.3,2020-04-13T15:06:20,2499
57,77,2.2,2020-04-13T15:06:21,779
58,78,3.7,2020-04-13T15:06:21,749
50,79,2.7,2020-04-13T15:06:21,2999
59,80,2.0,2020-04-13T15:06:21,3999
60,81,4.0,2020-04-13T15:06:21,2299
61,82,2.5,2020-04-13T15:06:21,2799
62,83,5.0,2020-04-13T15:06:21,2399
63,84,4.2,2020-04-13T15:06:21,3999
64,85,3.5,2020-04-13T15:06:21,9999
65,86,0.0,2020-04-13T15:06:21,7999
66,87,0.0,2020-04-13T15:06:21,2299
67,88,3.5,2020-04-13T15:06:21,2499
68,89,2.4,2020-04-13T15:06:21,2649
69,90,0.0,2020-04-13T15:06:21,999
70,91,3.1,2020-04-13T15:06:22,4999
71,92,4.4,2020-04-13T15:06:22,2999
72,93,3.4,2020-04-13T15:06:22,4499
46,94,3.8,2020-04-13T15:06:22,3299
60,95,3.0,2020-04-13T15:06:22,2299
73,96,3.5,2020-04-13T15:06:22,2499
74,97,4.3,2020-04-13T15:06:22,3599
60,98,2.2,2020-04-13T15:06:22,2299
75,99,3.5,2020-04-13T15:06:22,2399
42,100,4.0,2020-04-13T15:06:22,2799
76,101,3.8,2020-04-13T15:06:22,2499
77,102,2.4,2020-04-13T15:06:22,2159
78,103,3.8,2020-04-13T15:06:22,959
44,104,4.3,2020-04-13T15:06:22,2399
52,105,3.0,2020-04-13T15:06:22,779
79,106,4.0,2020-04-13T15:06:22,2499
62,107,4.8,2020-04-13T15:06:22,2399
80,108,4.4,2020-04-13T15:06:22,3299
81,109,3.4,2020-04-13T15:06:23,2799
47,110,3.5,2020-04-13T15:06:23,5399
82,111,3.0,2020-04-13T15:06:23,3359
77,112,4.3,2020-04-13T15:06:23,2159
83,113,1.0,2020-04-13T15:06:23,2149
42,114,3.8,2020-04-13T15:06:23,2799
84,115,4.5,2020-04-13T15:06:23,3999
85,116,2.6,2020-04-13T15:06:23,5399
86,117,4.4,2020-04-13T15:06:23,4799
86,118,2.0,2020-04-13T15:06:23,4799
87,119,3.8,2020-04-13T15:06:23,3959
78,120,4.7,2020-04-13T15:06:23,959
11,121,2.0,2020-04-13T15:06:23,4799
85,122,3.7,2020-04-13T15:06:23,4999
88,123,3.6,2020-04-13T15:06:23,6999
44,124,3.9,2020-04-13T15:06:23,2399
1,125,2.8,2020-04-13T15:06:23,4559
36,126,4.9,2020-04-13T15:06:23,7199
89,127,2.4,2020-04-13T15:06:23,4199
90,128,4.8,2020-04-13T15:06:23,4799
33,129,4.6,2020-04-13T15:06:23,3499
91,130,3.9,2020-04-13T15:06:23,4559
44,131,3.7,2020-04-13T15:06:23,2399
75,132,3.8,2020-04-13T15:06:24,2399
92,133,4.8,2020-04-13T15:06:24,1749
1,134,4.2,2020-04-13T15:06:24,5319
9,135,3.7,2020-04-13T15:06:24,3959
93,136,2.2,2020-04-13T15:06:24,5599
1,137,3.9,2020-04-13T15:06:24,4559
39,138,3.3,2020-04-13T15:06:24,5599
47,139,4.3,2020-04-13T15:06:24,6299
94,140,2.0,2020-04-13T15:06:24,2999
92,141,4.8,2020-04-13T15:06:24,1749
95,142,4.7,2020-04-13T15:06:24,7999
1,143,3.6,2020-04-13T15:06:24,4559
96,144,2.8,2020-04-13T15:06:24,3799
97,145,2.7,2020-04-13T15:06:24,4559
86,146,3.7,2020-04-13T15:06:24,4799
98,147,3.2,2020-04-13T15:06:24,499
28,148,2.9,2020-04-13T15:06:24,3959
99,149,1.5,2020-04-13T15:06:24,3959
36,150,4.3,2020-04-13T15:06:24,7199
92,151,3.4,2020-04-13T15:06:24,1749
100,152,5.0,2020-04-13T15:06:24,8499
1,153,1.0,2020-04-13T15:06:24,5319
101,154,3.5,2020-04-13T15:06:25,4800
102,155,3.4,2020-04-13T15:06:25,7199
90,156,1.0,2020-04-13T15:06:25,4799
103,157,3.2,2020-04-13T15:06:25,2999
11,158,4.0,2020-04-13T15:06:25,4799
104,159,3.7,2020-04-13T15:06:25,6599
90,160,2.5,2020-04-13T15:06:25,4799
105,161,2.8,2020-04-13T15:06:25,2159
106,162,2.7,2020-04-13T15:06:25,2399
85,163,2.8,2020-04-13T15:06:25,5399
107,164,2.9,2020-04-13T15:06:25,4999
11,165,4.3,2020-04-13T15:06:25,5599
108,166,3.6,2020-04-13T15:06:25,7199
39,167,4.1,2020-04-13T15:06:25,4799
95,168,3.7,2020-04-13T15:06:25,6499
97,169,3.6,2020-04-13T15:06:25,3999
105,170,4.6,2020-04-13T15:06:25,2159
109,171,3.7,2020-04-13T15:06:25,5399
110,172,3.0,2020-04-13T15:06:25,2499
47,173,4.6,2020-04-13T15:06:25,3999
111,174,0.0,2020-04-13T15:06:25,3999
112,175,4.1,2020-04-13T15:06:25,2799
113,176,4.4,2020-04-13T15:06:25,2649
110,177,3.7,2020-04-13T15:06:26,2499
114,178,2.0,2020-04-13T15:06:26,2999
115,179,4.8,2020-04-13T15:06:26,2499
116,180,2.7,2020-04-13T15:06:26,779
39,181,4.0,2020-04-13T15:06:26,3999
115,182,4.7,2020-04-13T15:06:26,2499
106,183,2.0,2020-04-13T15:06:26,2399
117,184,3.5,2020-04-13T15:06:26,6599
110,185,4.6,2020-04-13T15:06:26,2499
113,186,4.8,2020-04-13T15:06:26,2649
106,187,2.8,2020-04-13T15:06:26,2399
105,188,4.6,2020-04-13T15:06:26,2159
113,189,2.7,2020-04-13T15:06:26,2649
118,190,1.5,2020-04-13T15:06:26,1679
119,191,4.4,2020-04-13T15:06:26,5399
120,192,4.0,2020-04-13T15:06:26,2799
121,193,4.2,2020-04-13T15:06:26,2299
74,194,4.0,2020-04-13T15:06:26,3599
122,195,2.9,2020-04-13T15:06:26,3999
123,196,4.7,2020-04-13T15:06:26,2799
124,197,3.2,2020-04-13T15:06:26,4999
125,198,2.7,2020-04-13T15:06:26,2999
42,199,4.5,2020-04-13T15:06:26,2799
126,200,3.8,2020-04-13T15:06:26,2299
127,201,4.0,2020-04-13T15:06:26,4559
128,202,4.6,2020-04-13T15:06:26,2149
129,203,3.8,2020-04-13T15:06:26,1999
130,204,3.3,2020-04-13T15:06:26,2649
131,205,4.1,2020-04-13T15:06:26,4799
132,206,1.0,2020-04-13T15:06:26,2399
133,207,4.4,2020-04-13T15:06:26,2149
134,208,3.3,2020-04-13T15:06:26,1399
135,209,4.9,2020-04-13T15:06:26,3959
136,210,3.8,2020-04-13T15:06:26,2299
137,211,4.1,2020-04-13T15:06:26,6599
138,212,4.5,2020-04-13T15:06:26,4799
139,213,4.5,2020-04-13T15:06:27,7799
137,214,4.5,2020-04-13T15:06:27,4799
140,215,2.6,2020-04-13T15:06:27,749
141,216,2.2,2020-04-13T15:06:27,3959
142,217,2.4,2020-04-13T15:06:27,899
62,218,3.9,2020-04-13T15:06:27,2399
143,219,3.5,2020-04-13T15:06:27,2799
125,220,3.6,2020-04-13T15:06:27,2499
121,221,5.0,2020-04-13T15:06:27,2299
144,222,2.2,2020-04-13T15:06:27,3299
133,223,4.4,2020-04-13T15:06:27,2149
66,224,4.0,2020-04-13T15:06:27,2299
123,225,1.5,2020-04-13T15:06:27,2799
22,226,2.9,2020-04-13T15:06:27,3359
145,227,3.4,2020-04-13T15:06:27,2999
146,228,4.7,2020-04-13T15:06:27,2999
125,229,2.5,2020-04-13T15:06:27,2499
121,230,3.7,2020-04-13T15:06:27,2299
147,231,3.6,2020-04-13T15:06:27,3599
148,232,4.2,2020-04-13T15:06:27,2759
120,233,1.5,2020-04-13T15:06:27,2799
57,234,4.3,2020-04-13T15:06:27,779
67,235,1.0,2020-04-13T15:06:27,2999
149,236,4.8,2020-04-13T15:06:27,2999
141,237,2.5,2020-04-13T15:06:27,4199
150,238,2.7,2020-04-13T15:06:27,3999
151,239,1.5,2020-04-13T15:06:28,3799
152,240,4.7,2020-04-13T15:06:28,2499
153,241,4.6,2020-04-13T15:06:28,2999
76,242,3.1,2020-04-13T15:06:28,2499
154,243,3.8,2020-04-13T15:06:28,4799
85,244,4.4,2020-04-13T15:06:28,4999
155,245,4.7,2020-04-13T15:06:28,2159
156,246,4.9,2020-04-13T15:06:28,3999
87,247,2.8,2020-04-13T15:06:28,3959
157,248,4.3,2020-04-13T15:06:28,3999
1,249,4.9,2020-04-13T15:06:28,3799
