user,item,rating,timestamp
0,0,2.0,2011-11
1,0,5.0,2011-11
2,0,5.0,2011-10
3,0,5.0,2010-11
4,0,5.0,2011-10
5,0,5.0,2011-6
6,0,5.0,2011-4
7,0,1.0,2010-12
8,0,1.0,2011-8
9,0,3.0,2011-8
10,0,5.0,2011-5
11,0,5.0,2011-7
12,0,4.0,2011-6
13,0,5.0,2011-3
14,0,4.0,2010-3
15,0,2.0,missing
16,0,2.0,missing
17,0,1.0,missing
18,0,3.0,missing
19,0,5.0,missing
20,0,4.0,missing
21,0,4.0,missing
22,0,4.0,missing
23,0,5.0,missing
24,0,4.0,missing
25,0,5.0,missing
26,0,4.0,missing
27,0,4.0,missing
28,0,4.0,missing
29,0,5.0,missing
30,0,1.0,missing
31,0,3.0,missing
32,0,4.0,missing
33,0,4.0,missing
34,0,5.0,missing
35,0,5.0,missing
36,0,5.0,missing
37,0,4.0,missing
38,0,5.0,missing
39,0,5.0,missing
40,0,2.0,missing
41,0,5.0,missing
42,0,5.0,missing
43,0,5.0,missing
44,0,5.0,missing
45,0,5.0,missing
46,0,3.0,missing
47,0,5.0,missing
48,0,4.0,missing
49,0,5.0,missing
50,0,2.0,missing
51,0,3.0,missing
52,0,5.0,missing
53,0,4.0,missing
54,0,4.0,missing
55,0,4.0,missing
56,0,4.0,missing
57,0,4.0,missing
58,0,5.0,missing
59,0,4.0,missing
60,0,5.0,missing
61,0,4.0,missing
62,0,4.0,missing
63,0,2.0,missing
64,0,4.0,missing
65,0,5.0,missing
66,0,5.0,missing
67,0,4.0,missing
68,0,5.0,missing
69,0,5.0,missing
70,0,2.0,missing
71,0,2.0,missing
72,0,4.0,missing
73,0,1.0,missing
74,0,2.0,missing
75,0,4.0,missing
76,0,4.0,missing
77,0,1.0,missing
78,0,2.0,missing
79,0,5.0,missing
80,0,1.0,missing
81,0,5.0,missing
82,0,1.0,missing
83,0,5.0,missing
84,0,5.0,missing
85,0,1.0,missing
86,0,3.0,missing
87,0,4.0,missing
88,0,4.0,missing
89,0,5.0,missing
90,0,2.0,missing
91,0,4.0,missing
92,0,5.0,missing
93,0,5.0,missing
94,0,5.0,missing
95,0,1.0,missing
96,0,2.0,missing
97,0,4.0,missing
98,0,4.0,missing
99,0,2.0,missing
53,1,5.0,missing
32,1,5.0,missing
30,1,4.0,missing
41,1,4.0,missing
49,1,5.0,missing
85,1,4.0,missing
36,1,5.0,missing
51,1,5.0,missing
96,1,5.0,missing
34,1,3.0,missing
63,1,2.0,missing
61,1,5.0,missing
44,1,5.0,missing
20,1,5.0,missing
45,1,5.0,missing
2,1,4.0,missing
74,1,5.0,missing
90,1,5.0,missing
55,1,4.0,missing
37,1,4.0,missing
65,1,5.0,missing
25,1,5.0,missing
31,1,4.0,missing
7,1,5.0,missing
10,1,4.0,missing
35,1,5.0,missing
89,1,5.0,missing
78,1,5.0,missing
46,1,5.0,missing
17,1,5.0,missing
27,1,5.0,missing
40,1,4.0,missing
68,1,3.0,missing
83,1,3.0,missing
3,1,4.0,missing
59,1,5.0,missing
0,1,5.0,missing
64,1,5.0,missing
88,1,5.0,missing
12,1,5.0,missing
91,1,5.0,missing
14,1,1.0,missing
9,1,4.0,missing
8,1,4.0,missing
58,1,1.0,missing
39,1,5.0,missing
18,1,5.0,missing
4,1,5.0,missing
75,1,4.0,missing
86,1,5.0,missing
38,1,5.0,missing
21,1,5.0,missing
22,1,5.0,missing
77,1,5.0,missing
1,1,4.0,missing
47,1,4.0,missing
92,1,4.0,missing
24,1,5.0,missing
82,1,1.0,missing
16,1,5.0,missing
67,1,5.0,missing
62,1,5.0,missing
98,1,5.0,missing
71,1,5.0,missing
80,1,4.0,missing
97,1,5.0,missing
56,1,4.0,missing
81,1,5.0,missing
87,1,1.0,missing
43,1,5.0,missing
52,1,3.0,missing
57,1,1.0,missing
84,1,3.0,missing
19,1,5.0,missing
76,1,5.0,missing
42,1,5.0,missing
11,1,5.0,missing
73,1,5.0,missing
79,1,4.0,missing
93,1,4.0,missing
26,1,5.0,missing
28,1,5.0,missing
99,1,5.0,missing
60,1,5.0,missing
72,1,5.0,missing
23,1,2.0,missing
29,1,5.0,missing
15,1,5.0,missing
5,1,5.0,missing
94,1,4.0,missing
48,1,5.0,missing
6,1,5.0,missing
69,1,4.0,missing
50,1,5.0,missing
13,1,5.0,missing
54,1,5.0,missing
70,1,5.0,missing
66,1,1.0,missing
95,1,5.0,missing
33,1,5.0,missing
58,2,5.0,missing
83,2,1.0,missing
48,2,5.0,missing
50,2,5.0,missing
98,2,1.0,missing
30,2,2.0,missing
16,2,1.0,missing
43,2,2.0,missing
74,2,3.0,missing
70,2,5.0,missing
91,2,4.0,missing
17,2,2.0,missing
92,2,2.0,missing
53,2,1.0,missing
97,2,4.0,missing
81,2,5.0,missing
57,2,5.0,missing
4,2,4.0,missing
86,2,5.0,missing
93,2,5.0,missing
0,2,2.0,missing
40,2,4.0,missing
67,2,1.0,missing
71,2,2.0,missing
94,2,5.0,missing
52,2,4.0,missing
33,2,4.0,missing
99,2,5.0,missing
25,2,2.0,missing
36,2,5.0,missing
20,2,5.0,missing
45,2,5.0,missing
85,2,4.0,missing
31,2,5.0,missing
73,2,4.0,missing
12,2,5.0,missing
27,2,3.0,missing
56,2,4.0,missing
77,2,5.0,missing
24,2,4.0,missing
61,2,2.0,missing
79,2,5.0,missing
49,2,3.0,missing
3,2,5.0,missing
62,2,4.0,missing
46,2,3.0,missing
39,2,5.0,missing
54,2,4.0,missing
34,2,5.0,missing
90,2,3.0,missing
51,2,3.0,missing
72,2,5.0,missing
18,2,5.0,missing
38,2,3.0,missing
96,2,5.0,missing
41,2,2.0,missing
95,2,4.0,missing
68,2,5.0,missing
87,2,4.0,missing
69,2,4.0,missing
64,2,2.0,missing
65,2,4.0,missing
82,2,4.0,missing
1,2,5.0,missing
66,2,1.0,missing
6,2,1.0,missing
35,2,4.0,missing
2,2,5.0,missing
78,2,2.0,missing
59,2,4.0,missing
42,2,2.0,missing
63,2,4.0,missing
55,2,2.0,missing
29,2,4.0,missing
88,2,4.0,missing
5,2,3.0,missing
13,2,2.0,missing
76,2,4.0,missing
22,2,2.0,missing
47,2,2.0,missing
15,2,2.0,missing
10,2,2.0,missing
75,2,2.0,missing
11,2,5.0,missing
32,2,2.0,missing
14,2,2.0,missing
44,2,2.0,missing
89,2,5.0,missing
26,2,2.0,missing
28,2,5.0,missing
9,2,4.0,missing
8,2,3.0,missing
60,2,2.0,missing
23,2,5.0,missing
37,2,5.0,missing
84,2,5.0,missing
7,2,5.0,missing
80,2,5.0,missing
21,2,4.0,missing
19,2,4.0,missing
