user,item,rating,timestamp,feature Str
0,0,53.0,2010-06-29,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
1,1,64.0,2010-10-19,Comedy
2,2,53.0,1997-08-27,"Comedy, Romance"
3,3,97.0,2001-03-06,"Classics, Drama"
4,4,74.0,2003-05-20,"Action & Adventure, Drama, Kids & Family"
5,5,37.0,2008-06-24,"Action & Adventure, Classics, Drama"
6,6,86.0,1935-06-06,"Action & Adventure, Classics, Mystery & Suspense"
2,7,78.0,2002-04-02,"Classics, Drama, Western"
7,8,87.0,2003-08-01,"Comedy, Drama, Romance"
8,9,38.0,2008-11-18,"Classics, Drama"
9,10,66.0,2005-06-21,"Art House & International, Horror, Mystery & Suspense"
7,11,79.0,2002-04-16,"Drama, Mystery & Suspense"
10,12,64.0,2006-08-08,Drama
6,13,84.0,2017-08-08,Drama
6,14,86.0,2000-09-19,"Classics, Comedy, Romance"
11,15,35.0,2005-10-11,"Art House & International, Drama, Faith & Spirituality"
12,16,86.0,2011-02-01,"Drama, Mystery & Suspense"
13,17,57.0,2005-04-12,"Drama, Mystery & Suspense"
14,18,82.0,2006-01-31,"Action & Adventure, Animation, Kids & Family"
15,19,80.0,2006-04-11,"Documentary, Special Interest"
16,20,89.0,2003-09-30,"Action & Adventure, Classics, Romance"
15,21,75.0,2009-05-19,"Classics, Drama, Mystery & Suspense"
17,22,60.0,2004-11-19,"Comedy, Horror, Mystery & Suspense"
18,23,91.0,1999-02-16,Comedy
19,24,63.0,2005-02-08,"Art House & International, Drama"
8,25,71.0,2006-04-25,"Drama, Science Fiction & Fantasy, Romance"
20,26,80.0,2005-10-25,"Art House & International, Drama"
21,27,,2007-06-26,Comedy
22,28,79.0,2006-06-06,"Action & Adventure, Drama, Mystery & Suspense"
23,29,61.0,2005-07-05,Comedy
24,30,30.0,2006-06-27,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy"
25,31,48.0,2007-10-23,"Action & Adventure, Documentary, Drama, Special Interest"
26,32,56.0,2007-05-15,"Animation, Kids & Family, Science Fiction & Fantasy"
3,33,83.0,2005-04-19,Horror
27,34,40.0,2005-10-18,"Horror, Mystery & Suspense"
4,35,36.0,2005-03-29,"Classics, Drama, Romance"
28,36,88.0,2005-07-05,"Classics, Drama, Mystery & Suspense"
2,37,65.0,2006-07-04,"Action & Adventure, Comedy, Drama, Mystery & Suspense"
29,38,66.0,2005-09-06,"Art House & International, Comedy, Drama"
29,39,73.0,2006-04-25,"Art House & International, Drama"
30,40,85.0,2005-12-13,"Comedy, Drama"
31,41,75.0,2005-12-13,"Comedy, Romance"
32,42,63.0,2006-01-24,"Drama, Kids & Family"
19,43,63.0,2000-12-05,"Action & Adventure, Classics, Drama, Western"
33,44,60.0,2006-03-28,"Drama, Romance"
34,45,42.0,2004-10-19,Classics
35,46,77.0,2001-02-27,"Classics, Comedy, Drama, Romance"
36,47,65.0,2007-07-03,"Drama, Mystery & Suspense"
37,48,78.0,2006-07-18,"Drama, Faith & Spirituality"
38,49,67.0,2007-04-03,"Drama, Mystery & Suspense"
39,50,94.0,1999-06-01,"Action & Adventure, Horror, Science Fiction & Fantasy"
36,51,20.0,2007-10-09,"Horror, Mystery & Suspense"
13,52,94.0,1999-10-05,"Classics, Drama"
37,53,68.0,2006-08-22,Comedy
19,54,58.0,2006-10-10,"Comedy, Drama"
40,55,42.0,2006-04-04,Drama
41,56,55.0,2006-09-19,"Horror, Mystery & Suspense"
42,57,67.0,1999-02-02,"Comedy, Science Fiction & Fantasy"
43,58,70.0,2002-04-23,Drama
44,59,65.0,2006-12-19,"Art House & International, Drama"
30,60,84.0,2010-04-27,"Documentary, Special Interest"
45,61,78.0,2001-06-05,"Classics, Drama"
46,62,93.0,2007-01-09,"Documentary, Special Interest"
47,63,64.0,2007-01-30,"Comedy, Drama"
38,64,80.0,2006-10-03,"Documentary, Sports & Fitness"
48,65,66.0,2007-03-06,"Art House & International, Drama, Horror, Mystery & Suspense"
49,66,58.0,2007-06-12,"Art House & International, Horror, Mystery & Suspense"
27,67,48.0,2008-05-20,"Art House & International, Comedy, Drama"
50,68,31.0,2008-04-08,"Drama, Science Fiction & Fantasy"
28,69,82.0,2008-05-13,"Action & Adventure, Comedy"
37,70,85.0,2007-11-13,"Drama, Mystery & Suspense"
38,71,38.0,2009-08-25,"Action & Adventure, Drama, Mystery & Suspense, Television"
51,72,79.0,2007-01-23,Documentary
17,73,20.0,2005-01-25,"Horror, Mystery & Suspense"
32,74,58.0,2007-07-31,"Drama, Mystery & Suspense"
52,75,,2007-06-05,"Documentary, Sports & Fitness"
53,76,61.0,2007-11-06,"Art House & International, Drama"
54,77,31.0,2009-08-11,"Comedy, Drama, Mystery & Suspense"
41,78,61.0,2008-06-17,"Comedy, Romance"
33,79,29.0,2008-02-26,"Art House & International, Comedy, Drama, Science Fiction & Fantasy"
55,80,57.0,2008-05-06,"Comedy, Drama"
39,81,55.0,2007-12-11,"Art House & International, Drama"
30,82,65.0,2005-06-21,"Action & Adventure, Documentary, Drama"
48,83,40.0,2008-01-15,Comedy
15,84,24.0,2008-10-07,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
20,85,79.0,2007-11-20,Comedy
3,86,33.0,2007-09-18,"Drama, Mystery & Suspense"
56,87,43.0,2008-03-18,"Drama, Horror, Mystery & Suspense"
57,88,59.0,2010-05-24,"Drama, Mystery & Suspense"
58,89,69.0,2009-04-28,Drama
59,90,33.0,2007-08-28,Documentary
60,91,63.0,2008-07-29,"Documentary, Musical & Performing Arts"
61,92,39.0,2008-09-23,"Drama, Mystery & Suspense"
62,93,58.0,2010-11-16,"Animation, Drama, Kids & Family, Science Fiction & Fantasy"
61,94,87.0,2007-12-18,"Documentary, Special Interest"
63,95,78.0,2009-09-22,"Art House & International, Drama, Sports & Fitness"
7,96,52.0,2009-03-03,Comedy
11,97,45.0,2012-02-07,Drama
9,98,43.0,2008-06-06,"Drama, Horror, Mystery & Suspense"
43,99,22.0,2008-04-08,"Horror, Mystery & Suspense"
24,100,46.0,2009-01-13,"Comedy, Drama"
53,101,33.0,2009-04-21,"Horror, Mystery & Suspense, Western"
64,102,50.0,2009-02-17,"Drama, Horror, Mystery & Suspense"
46,103,54.0,2009-01-27,"Comedy, Drama"
65,104,64.0,2008-09-23,Comedy
66,105,36.0,2007-09-04,Comedy
62,106,21.0,2010-01-19,"Action & Adventure, Drama, Mystery & Suspense"
1,107,38.0,2009-09-01,"Comedy, Documentary"
67,108,58.0,2008-01-08,Drama
53,109,61.0,2009-11-17,Comedy
68,110,40.0,2009-05-26,Drama
9,111,78.0,2008-04-29,"Documentary, Musical & Performing Arts, Special Interest"
64,112,67.0,2008-02-19,"Art House & International, Documentary, Special Interest"
69,113,73.0,2008-05-27,"Documentary, Drama, Musical & Performing Arts, Special Interest"
70,114,58.0,2007-12-18,"Art House & International, Drama"
7,115,58.0,2008-06-17,Drama
71,116,54.0,2008-01-29,Documentary
3,117,27.0,2009-04-07,"Drama, Horror, Mystery & Suspense"
32,118,62.0,2008-01-29,Drama
72,119,55.0,2008-03-25,"Documentary, Special Interest"
73,120,46.0,2008-05-06,"Art House & International, Drama, Musical & Performing Arts, Romance"
21,121,72.0,2008-01-08,"Art House & International, Drama, Musical & Performing Arts, Romance"
28,122,54.0,2008-06-03,"Drama, Mystery & Suspense"
74,123,65.0,2008-08-26,"Comedy, Romance"
75,124,55.0,2009-01-13,"Action & Adventure, Western"
76,125,32.0,2009-05-01,Drama
13,126,84.0,2009-01-27,Drama
75,127,44.0,2008-07-15,Comedy
23,128,36.0,2008-09-02,"Comedy, Drama, Mystery & Suspense, Romance"
24,129,54.0,2009-02-24,Drama
77,130,33.0,2010-10-05,"Art House & International, Drama, Horror, Mystery & Suspense"
73,131,52.0,2008-05-13,"Drama, Horror, Mystery & Suspense"
40,132,18.0,2009-08-25,"Drama, Mystery & Suspense"
72,133,47.0,2008-05-20,"Documentary, Special Interest"
4,134,61.0,1998-06-30,"Comedy, Drama"
37,135,40.0,2008-02-26,"Art House & International, Drama, Mystery & Suspense"
76,136,46.0,2009-01-27,"Comedy, Drama"
20,137,52.0,2008-11-11,"Kids & Family, Romance"
43,138,76.0,2010-07-27,"Art House & International, Drama"
78,139,32.0,2009-10-13,"Action & Adventure, Comedy, Science Fiction & Fantasy"
5,140,82.0,2009-07-14,"Art House & International, Horror, Special Interest"
79,141,56.0,2009-05-05,"Comedy, Drama"
79,142,32.0,2000-02-08,"Classics, Comedy, Drama, Romance"
74,143,24.0,2010-02-23,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
80,144,68.0,2008-04-01,"Comedy, Drama"
77,145,26.0,2008-03-11,"Drama, Mystery & Suspense"
27,146,39.0,2008-02-19,"Horror, Mystery & Suspense"
81,147,66.0,2008-07-22,"Drama, Mystery & Suspense"
82,148,52.0,2008-08-12,"Art House & International, Drama, Romance"
83,149,80.0,2009-03-10,"Art House & International, Drama, Mystery & Suspense"
31,150,62.0,2009-02-17,"Drama, Mystery & Suspense"
50,151,35.0,2009-03-24,"Drama, Mystery & Suspense"
50,152,43.0,2008-06-10,Comedy
37,153,90.0,2008-06-24,Comedy
84,154,33.0,2008-07-15,"Horror, Mystery & Suspense"
52,155,46.0,2011-08-16,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western"
27,156,25.0,2009-03-31,"Horror, Mystery & Suspense"
9,157,64.0,2010-01-26,"Art House & International, Mystery & Suspense"
7,158,80.0,2009-09-01,"Drama, Sports & Fitness"
38,159,54.0,2008-08-20,"Drama, Mystery & Suspense"
65,160,69.0,2008-10-28,"Drama, Mystery & Suspense"
27,161,55.0,2009-02-10,Drama
37,162,68.0,2010-05-25,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
63,163,39.0,2009-12-15,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
53,164,18.0,2009-04-07,Drama
85,165,67.0,2009-01-27,Drama
67,166,38.0,2008-12-19,"Comedy, Drama"
86,167,59.0,2009-12-08,"Action & Adventure, Drama"
49,168,68.0,2012-01-09,"Art House & International, Drama"
82,169,67.0,2009-08-18,"Art House & International, Drama, Mystery & Suspense"
2,170,67.0,1999-10-14,"Classics, Western, Romance"
26,171,31.0,2010-10-05,Mystery & Suspense
28,172,81.0,1998-06-23,"Drama, Mystery & Suspense"
2,173,44.0,2010-03-09,"Comedy, Drama, Kids & Family"
68,174,38.0,2010-01-26,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
6,175,28.0,2008-09-02,Comedy
87,176,65.0,2009-04-21,"Drama, Musical & Performing Arts"
33,177,58.0,2009-02-10,"Comedy, Musical & Performing Arts"
33,178,38.0,2009-01-20,"Animation, Comedy, Kids & Family"
4,37,65.0,2009-02-17,"Documentary, Special Interest"
62,179,41.0,2009-12-22,Comedy
5,180,19.0,2009-04-14,"Drama, Mystery & Suspense"
18,181,89.0,2009-09-01,"Drama, Mystery & Suspense"
29,182,18.0,2009-04-21,"Art House & International, Drama"
59,183,58.0,2008-10-21,Drama
12,184,49.0,2010-03-30,"Animation, Comedy, Kids & Family"
52,185,66.0,2009-11-10,"Art House & International, Comedy, Drama"
64,186,46.0,2012-02-07,"Comedy, Romance"
32,187,,2008-10-07,Drama
67,188,65.0,2015-02-02,Drama
27,189,41.0,2008-09-16,Comedy
46,190,42.0,2009-07-07,"Mystery & Suspense, Science Fiction & Fantasy"
33,191,82.0,2008-07-18,"Action & Adventure, Drama, Mystery & Suspense"
71,192,11.0,2006-09-26,"Drama, Horror, Mystery & Suspense"
61,193,30.0,2009-07-07,"Horror, Mystery & Suspense"
67,194,29.0,2010-03-02,Action & Adventure
67,195,75.0,2009-06-09,Drama
25,196,73.0,2009-02-10,"Action & Adventure, Art House & International"
72,197,82.0,2009-01-27,Drama
18,198,68.0,2008-12-30,"Art House & International, Comedy"
66,199,85.0,2009-08-18,"Documentary, Special Interest"
21,200,49.0,2009-01-27,"Horror, Mystery & Suspense"
17,201,49.0,2010-10-12,"Comedy, Drama, Mystery & Suspense"
40,202,71.0,2009-05-12,Romance
41,203,67.0,2009-10-13,"Comedy, Romance"
66,204,34.0,2009-08-11,"Comedy, Romance"
73,205,82.0,2010-06-22,"Documentary, Special Interest"
40,206,37.0,2010-10-26,Mystery & Suspense
18,207,70.0,2005-09-06,"Classics, Drama, Romance"
88,208,63.0,2009-10-27,"Drama, Horror, Mystery & Suspense"
18,209,72.0,2009-11-17,Drama
85,210,84.0,2009-12-15,Comedy
27,211,34.0,2010-02-09,"Horror, Mystery & Suspense"
56,212,92.0,2010-01-12,"Art House & International, Drama"
71,213,67.0,2012-02-13,"Comedy, Drama"
69,214,100.0,2009-12-08,"Art House & International, Special Interest"
88,215,30.0,2011-06-28,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
70,216,36.0,2009-04-07,Mystery & Suspense
31,217,30.0,2009-07-28,Comedy
77,218,41.0,2009-07-28,"Drama, Mystery & Suspense"
81,219,31.0,2009-09-15,"Drama, Horror"
25,220,58.0,2010-02-09,"Drama, Mystery & Suspense"
44,221,43.0,2010-06-01,"Action & Adventure, Drama, Romance"
22,222,32.0,2009-10-13,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
87,223,21.0,2010-06-15,"Comedy, Drama"
39,224,44.0,2010-04-13,"Comedy, Drama, Mystery & Suspense"
21,225,38.0,2009-08-13,"Art House & International, Drama"
19,226,63.0,2010-04-20,"Art House & International, Drama"
77,227,85.0,2010-02-23,"Documentary, Special Interest"
58,228,75.0,2010-05-18,"Drama, Romance"
89,229,62.0,2010-03-23,"Horror, Mystery & Suspense"
5,230,72.0,2009-09-08,"Art House & International, Drama"
25,231,94.0,2001-06-19,"Classics, Comedy, Drama, Romance"
14,232,22.0,2009-08-18,"Comedy, Romance"
34,233,12.0,2004-06-29,"Classics, Drama, Horror, Science Fiction & Fantasy"
67,234,36.0,2010-01-12,"Drama, Musical & Performing Arts, Romance"
9,235,76.0,2010-01-19,Documentary
3,236,79.0,2011-02-01,"Art House & International, Drama, Mystery & Suspense"
67,237,35.0,2010-09-28,Drama
88,238,75.0,2009-11-17,"Art House & International, Drama, Horror"
26,239,60.0,2010-11-16,"Action & Adventure, Art House & International, Mystery & Suspense"
38,240,49.0,2009-10-13,"Documentary, Special Interest"
39,241,47.0,2002-09-03,Horror
81,242,33.0,2009-10-20,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy"
22,243,50.0,2009-09-29,"Comedy, Drama"
20,244,53.0,2010-02-02,"Action & Adventure, Art House & International"
78,245,44.0,2015-05-11,"Art House & International, Documentary, Special Interest"
16,246,65.0,2012-10-16,Drama
48,247,63.0,2011-04-05,"Action & Adventure, Science Fiction & Fantasy"
67,248,32.0,2009-11-17,"Drama, Mystery & Suspense"
38,249,27.0,2010-10-12,"Comedy, Drama, Science Fiction & Fantasy"
34,250,61.0,2011-05-17,"Drama, Kids & Family"
89,251,24.0,2011-03-01,Drama
47,252,53.0,2010-09-28,"Comedy, Horror, Musical & Performing Arts"
0,253,39.0,2010-07-13,"Drama, Mystery & Suspense"
27,254,39.0,2002-11-12,Comedy
19,255,46.0,2012-10-02,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
89,256,87.0,2012-04-03,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness"
9,257,80.0,2007-04-24,"Documentary, Drama, Special Interest, Television"
5,258,43.0,2010-03-16,Comedy
90,259,57.0,2004-05-18,"Action & Adventure, Comedy, Drama, Kids & Family"
77,260,58.0,2010-08-10,Drama
17,261,33.0,2010-03-16,"Drama, Romance"
35,262,84.0,2010-06-15,"Documentary, Special Interest"
47,263,50.0,2010-02-23,"Comedy, Drama"
3,264,66.0,2010-08-17,"Drama, Kids & Family, Romance"
24,265,62.0,2010-09-28,"Documentary, Special Interest"
91,266,44.0,2010-11-16,Comedy
20,29,52.0,2010-11-30,"Comedy, Romance"
6,267,61.0,2011-02-08,"Comedy, Drama"
92,268,32.0,2010-03-23,"Drama, Horror, Mystery & Suspense"
71,269,46.0,2010-09-28,"Drama, Horror, Mystery & Suspense"
2,270,79.0,2010-05-18,"Documentary, Special Interest"
64,271,70.0,2010-08-03,"Drama, Mystery & Suspense"
