user,item,rating,timestamp,feature Str
0,0,9.0,11th November 2019,Economy Class
1,0,1.0,25th June 2019,Economy Class
2,0,1.0,25th June 2019,Economy Class
3,1,1.0,28th September 2019,Economy Class
4,1,1.0,24th September 2019,Economy Class
5,1,1.0,17th September 2019,Economy Class
6,1,1.0,6th September 2019,Economy Class
7,1,1.0,24th August 2019,Economy Class
8,1,1.0,6th August 2019,Economy Class
9,1,8.0,12th October 2018,Economy Class
10,1,1.0,5th October 2018,Economy Class
11,1,1.0,29th July 2018,Economy Class
12,1,2.0,19th July 2018,Economy Class
13,1,2.0,30th June 2018,Economy Class
14,1,3.0,24th June 2018,Economy Class
15,1,1.0,4th May 2018,Economy Class
16,1,1.0,11th March 2018,Economy Class
17,1,3.0,5th December 2017,Economy Class
18,1,9.0,20th November 2017,Economy Class
19,1,2.0,27th October 2017,Economy Class
20,1,2.0,16th September 2017,Economy Class
21,1,9.0,19th April 2017,Economy Class
22,1,8.0,27th January 2017,Business Class
23,1,1.0,10th November 2016,Economy Class
24,1,8.0,9th November 2016,Business Class
25,1,5.0,3rd November 2016,Economy Class
26,1,2.0,21st October 2016,Economy Class
27,1,3.0,10th October 2016,Economy Class
28,1,3.0,30th September 2016,Economy Class
29,1,6.0,4th September 2016,Economy Class
30,1,3.0,6th August 2016,Economy Class
31,1,1.0,29th July 2016,Economy Class
32,1,8.0,13th July 2016,Economy Class
33,1,1.0,11th July 2016,Economy Class
34,1,6.0,10th July 2016,Economy Class
35,1,3.0,25th January 2016,Economy Class
36,1,5.0,4th December 2015,Economy Class
37,1,7.0,3rd October 2015,Economy Class
38,1,9.0,20th September 2015,Business Class
39,1,5.0,9th September 2015,Economy Class
40,1,6.0,4th September 2015,Economy Class
41,1,1.0,2nd September 2015,Economy Class
42,1,7.0,10th April 2015,Economy Class
43,1,1.0,5th January 2015,Business Class
44,1,9.0,14th September 2014,Economy Class
45,1,8.0,6th September 2014,Business Class
46,1,4.0,16th June 2014,Economy Class
47,1,9.0,8th June 2014,Economy Class
48,1,5.0,1st June 2014,Economy Class
49,1,9.0,10th May 2014,Economy Class
50,1,8.0,13th January 2014,Business Class
51,1,1.0,6th January 2014,Economy Class
52,1,9.0,22nd October 2013,Economy Class
53,1,7.0,28th August 2013,Economy Class
54,1,8.0,19th August 2013,Economy Class
55,1,7.0,19th August 2013,Business Class
56,1,7.0,10th June 2013,Business Class
57,1,5.0,27th May 2013,Economy Class
58,1,9.0,8th October 2012,Economy Class
59,1,5.0,4th July 2012,Economy Class
60,1,5.0,17th June 2012,Economy Class
61,1,8.0,12th June 2012,Economy Class
62,1,9.0,16th February 2012,Economy Class
63,1,5.0,17th January 2012,Economy Class
64,1,9.0,20th September 2011,Economy Class
65,1,9.0,13th September 2011,Business Class
66,1,1.0,13th September 2011,Business Class
67,1,7.0,19th January 2011,Economy Class
68,1,5.0,7th January 2011,Economy Class
69,1,5.0,10th October 2010,Economy Class
70,1,6.0,25th November 2009,Economy Class
71,1,7.0,27th May 2009,Economy Class
72,1,5.0,26th May 2009,Economy Class
73,1,3.0,28th February 2009,
74,1,4.0,29th May 2008,
75,1,4.0,12th May 2008,
76,1,4.0,11th February 2008,
77,2,1.0,24th July 2023,Economy Class
78,2,1.0,19th July 2023,Economy Class
79,2,4.0,17th July 2023,Economy Class
80,2,4.0,16th July 2023,Premium Economy
81,2,1.0,16th July 2023,Economy Class
82,2,1.0,15th July 2023,Business Class
83,2,1.0,11th July 2023,Economy Class
84,2,1.0,7th July 2023,Economy Class
85,2,8.0,5th July 2023,Business Class
86,2,4.0,4th July 2023,Economy Class
87,2,1.0,3rd July 2023,Business Class
88,2,6.0,1st July 2023,Economy Class
89,2,1.0,1st July 2023,Economy Class
90,2,2.0,30th June 2023,Economy Class
91,2,9.0,29th June 2023,Economy Class
92,2,9.0,30th May 2023,Business Class
93,2,1.0,23rd May 2023,Economy Class
94,2,1.0,2nd May 2023,Economy Class
95,2,8.0,30th April 2023,Economy Class
96,2,1.0,26th April 2023,Economy Class
97,2,9.0,23rd April 2023,Economy Class
98,2,1.0,20th April 2023,Economy Class
99,2,1.0,7th April 2023,Economy Class
100,2,3.0,1st April 2023,Economy Class
101,2,9.0,26th March 2023,Business Class
102,2,8.0,21st March 2023,Business Class
103,2,1.0,16th March 2023,Economy Class
104,2,2.0,15th March 2023,Economy Class
105,2,5.0,3rd March 2023,Economy Class
106,2,1.0,15th February 2023,Economy Class
107,2,1.0,9th February 2023,Economy Class
108,2,2.0,13th January 2023,Economy Class
109,2,3.0,9th January 2023,Economy Class
110,2,5.0,31st December 2022,Economy Class
111,2,1.0,18th December 2022,Economy Class
112,2,1.0,13th November 2022,Economy Class
113,2,1.0,13th November 2022,Economy Class
114,2,1.0,4th November 2022,Economy Class
115,2,2.0,3rd November 2022,Economy Class
116,2,1.0,26th October 2022,Economy Class
117,2,1.0,10th October 2022,Economy Class
118,2,6.0,6th October 2022,Economy Class
119,2,1.0,5th October 2022,Economy Class
120,2,1.0,1st October 2022,Economy Class
121,2,5.0,30th September 2022,Economy Class
122,2,1.0,20th September 2022,Economy Class
123,2,5.0,18th September 2022,Economy Class
124,2,1.0,18th September 2022,Economy Class
125,2,4.0,17th September 2022,Economy Class
126,2,2.0,11th September 2022,Economy Class
127,2,6.0,5th September 2022,Economy Class
128,2,2.0,2nd September 2022,Economy Class
129,2,2.0,2nd September 2022,Economy Class
130,2,1.0,18th August 2022,Economy Class
131,2,5.0,12th August 2022,Economy Class
132,2,1.0,11th August 2022,Economy Class
133,2,1.0,11th August 2022,Economy Class
134,2,2.0,2nd August 2022,Economy Class
135,2,1.0,29th July 2022,Economy Class
136,2,1.0,11th July 2022,Economy Class
137,2,9.0,9th July 2022,Economy Class
138,2,2.0,8th July 2022,Economy Class
139,2,1.0,7th July 2022,Premium Economy
140,2,1.0,3rd July 2022,Economy Class
141,2,9.0,26th June 2022,Economy Class
142,2,1.0,25th June 2022,Economy Class
143,2,7.0,20th June 2022,Business Class
144,2,1.0,20th June 2022,Economy Class
145,2,1.0,18th June 2022,Economy Class
146,2,4.0,5th May 2022,Premium Economy
147,2,1.0,4th May 2022,Economy Class
148,2,1.0,24th April 2022,Economy Class
149,2,9.0,20th April 2022,Economy Class
150,2,1.0,19th April 2022,Economy Class
151,2,1.0,19th April 2022,Economy Class
152,2,3.0,8th April 2022,Business Class
153,2,1.0,7th April 2022,Economy Class
154,2,1.0,4th April 2022,Economy Class
155,2,1.0,3rd April 2022,Economy Class
156,2,1.0,1st April 2022,Economy Class
157,2,1.0,6th March 2022,Economy Class
158,2,9.0,21st February 2022,Economy Class
159,2,6.0,20th February 2022,Economy Class
160,2,4.0,5th January 2022,Economy Class
161,2,1.0,31st December 2021,Economy Class
162,2,1.0,25th December 2021,Economy Class
163,2,4.0,7th December 2021,Economy Class
164,2,5.0,15th November 2021,Economy Class
165,2,2.0,4th November 2021,Economy Class
166,2,2.0,3rd November 2021,Economy Class
167,2,7.0,10th October 2021,Economy Class
168,2,7.0,2nd October 2021,Economy Class
169,2,1.0,2nd October 2021,Economy Class
170,2,5.0,26th September 2021,Economy Class
171,2,2.0,14th September 2021,Economy Class
172,2,1.0,12th September 2021,Economy Class
173,2,3.0,10th September 2021,Economy Class
174,2,3.0,9th September 2021,Economy Class
175,2,1.0,4th September 2021,Business Class
176,2,9.0,3rd September 2021,Economy Class
177,3,3.0,21st July 2023,Economy Class
178,3,1.0,18th July 2023,Economy Class
179,3,1.0,18th July 2023,Economy Class
180,3,3.0,18th July 2023,Economy Class
181,3,2.0,15th July 2023,Economy Class
182,3,1.0,14th July 2023,Economy Class
