user,item,rating,timestamp,feature Str
0,0,9.0,2024-03-01,Business Class
1,0,10.0,2024-02-19,Economy Class
2,0,10.0,2024-02-19,Economy Class
3,0,3.0,2024-02-19,Economy Class
4,0,5.0,2024-02-19,Economy Class
5,0,10.0,2024-02-19,Economy Class
6,0,4.0,2024-02-18,Economy Class
7,0,10.0,2024-02-17,Economy Class
8,0,10.0,2024-02-17,Economy Class
9,0,10.0,2024-02-16,Economy Class
10,0,2.0,2024-02-16,Business Class
11,0,10.0,2024-02-09,Business Class
12,0,8.0,2024-02-01,Business Class
13,0,2.0,2024-01-29,Business Class
14,0,10.0,2024-01-19,Economy Class
15,0,2.0,2024-01-18,Economy Class
16,0,1.0,2024-01-16,Economy Class
17,0,10.0,2024-01-08,Business Class
18,0,8.0,2024-01-07,Business Class
19,0,1.0,2023-12-31,Economy Class
20,0,2.0,2023-12-27,Business Class
21,0,1.0,2023-12-22,Economy Class
22,0,2.0,2023-12-18,Economy Class
23,0,7.0,2023-12-17,Premium Economy
24,0,1.0,2023-12-17,Economy Class
25,0,1.0,2023-12-11,Economy Class
26,0,8.0,2023-12-09,Premium Economy
27,0,10.0,2023-11-28,Business Class
28,0,1.0,2023-11-24,Economy Class
29,0,1.0,2023-11-21,Economy Class
30,0,1.0,2023-11-18,Economy Class
31,0,9.0,2023-11-18,Business Class
32,0,4.0,2023-11-17,Business Class
33,0,4.0,2023-11-15,Business Class
34,0,10.0,2023-11-06,Economy Class
35,0,1.0,2023-11-04,Economy Class
36,0,1.0,2023-11-03,Economy Class
37,0,1.0,2023-11-01,Economy Class
38,0,7.0,2023-10-26,Business Class
39,0,10.0,2023-10-24,Economy Class
40,0,1.0,2023-10-22,Economy Class
41,0,3.0,2023-10-19,Business Class
42,0,1.0,2023-10-08,Business Class
43,0,9.0,2023-09-30,Economy Class
44,0,10.0,2023-09-28,Business Class
45,0,10.0,2023-09-28,Economy Class
46,0,5.0,2023-09-23,Premium Economy
47,0,1.0,2023-09-19,Economy Class
48,0,10.0,2023-09-18,Economy Class
49,0,10.0,2023-09-17,Business Class
50,0,10.0,2023-09-16,Business Class
51,0,10.0,2023-09-15,Economy Class
52,0,10.0,2023-09-15,Business Class
53,0,2.0,2023-09-14,Premium Economy
54,0,10.0,2023-09-12,Economy Class
55,0,10.0,2023-09-08,Premium Economy
56,0,10.0,2023-08-29,Economy Class
57,0,1.0,2023-08-29,Economy Class
58,0,7.0,2023-08-23,Economy Class
59,0,5.0,2023-08-21,Premium Economy
60,0,9.0,2023-08-21,Business Class
61,0,10.0,2023-08-13,Economy Class
62,0,10.0,2023-08-09,Economy Class
63,0,6.0,2023-08-09,Economy Class
64,0,10.0,2023-08-03,Economy Class
65,0,9.0,2023-07-22,Business Class
66,0,1.0,2023-07-19,Economy Class
