user,item,rating,timestamp,feature Str
0,0,4.0,"Mar 21, 2020",New delhi
1,0,5.0,"Mar 20, 2020",Kolkata
2,1,5.0,"Mar 20, 2020",Hooghly
3,2,5.0,"Mar 20, 2020",Pune
4,3,5.0,"Mar 20, 2020",Bangalore
5,4,5.0,"Mar 20, 2020",Hyderabad
6,0,4.0,"Mar 20, 2020",Bangalore
7,5,5.0,"Mar 20, 2020",Bangalore
8,2,5.0,"Mar 20, 2020",New delhi
9,1,5.0,"Mar 19, 2020",Bangalore
10,5,5.0,"Mar 19, 2020",Bangalore
11,0,5.0,"Mar 19, 2020",Bangalore
12,2,5.0,"Mar 19, 2020",Bangalore
13,3,3.0,"Mar 19, 2020",Chennai
14,0,4.0,"Mar 19, 2020",Chennai
15,3,4.0,"Mar 19, 2020",Hyderabad
16,1,4.5,"Mar 19, 2020",Hyderabad
17,0,4.0,"Mar 19, 2020",Hyderabad
18,3,3.0,"Mar 19, 2020",Hyderabad
19,2,4.0,"Mar 19, 2020",Chennai
20,0,5.0,"Mar 19, 2020",Hyderabad
21,3,5.0,"Mar 19, 2020",Bangalore
22,6,4.0,"Mar 18, 2020",Darbhanga
23,1,4.5,"Mar 18, 2020",Darbhanga
24,0,4.0,"Mar 18, 2020",Jaipur
25,2,4.0,"Mar 18, 2020",Jaipur
26,5,5.0,"Mar 18, 2020",Jaipur
27,2,5.0,"Mar 18, 2020",Chennai
28,0,3.0,"Mar 18, 2020",Bangalore
29,3,5.0,"Mar 18, 2020",Hyderabad
30,0,4.0,"Mar 18, 2020",Hyderabad
31,2,5.0,"Mar 18, 2020",Bangalore
32,5,4.0,"Mar 17, 2020",Chennai
33,3,4.0,"Mar 17, 2020",Chennai
34,3,4.0,"Mar 17, 2020",Chennai
35,0,4.0,"Mar 17, 2020",Bangalore
36,3,4.5,"Mar 17, 2020",Bangalore
37,7,3.0,"Mar 17, 2020",Hyderabad
38,2,5.0,"Mar 17, 2020",Hyderabad
39,3,4.0,"Mar 16, 2020",Chennai
40,7,4.0,"Mar 16, 2020",Chennai
41,1,5.0,"Mar 16, 2020",Kolkata
42,3,4.0,"Mar 16, 2020",Kolkata
43,3,4.0,"Mar 16, 2020",Nasik
44,3,5.0,"Mar 16, 2020",Chennai
45,0,5.0,"Mar 16, 2020",Chennai
46,3,5.0,"Mar 16, 2020",Chennai
47,3,5.0,"Mar 16, 2020",Chennai
48,2,5.0,"Mar 16, 2020",Chennai
49,3,4.0,"Mar 16, 2020",Mahabubnagar
50,3,5.0,"Mar 15, 2020",New delhi
51,3,4.0,"Mar 15, 2020",Mumbai
52,0,5.0,"Mar 15, 2020",Bangalore
53,3,3.0,"Mar 15, 2020",Pune
54,1,5.0,"Mar 15, 2020",Chandigarh
55,2,5.0,"Mar 15, 2020",Kolkata
56,2,5.0,"Mar 15, 2020",Mumbai
57,2,4.5,"Mar 15, 2020",Mumbai
58,8,5.0,"Mar 14, 2020",Bangalore
59,3,5.0,"Mar 14, 2020",Medak
60,1,3.0,"Mar 14, 2020",Medak
61,1,5.0,"Mar 14, 2020",Kolkata
62,3,4.0,"Mar 14, 2020",Kolkata
63,3,5.0,"Mar 14, 2020",Kolkata
64,3,5.0,"Mar 13, 2020",Chennai
65,2,5.0,"Mar 13, 2020",Chennai
66,3,5.0,"Mar 13, 2020",Chennai
67,2,5.0,"Mar 13, 2020",Chennai
