user,item,rating,timestamp,feature Str
0,0,4.57,9/16/2006,Scholastic Inc.
1,1,4.49,9/1/2004,Scholastic Inc.
2,2,4.42,11/1/2003,Scholastic
3,3,4.56,5/1/2004,Scholastic Inc.
4,4,4.78,9/13/2004,Scholastic
5,5,3.74,4/26/2005,Nimble Books
6,6,4.73,9/12/2005,Scholastic
7,7,4.38,11/1/2005,Gramercy Books
8,8,4.38,4/30/2002,Del Rey Books
9,9,4.22,8/3/2004,Crown
10,10,4.22,3/23/2005,Random House Audio
3,11,4.38,1/17/1996,Wings Books
11,12,4.21,9/14/2004,Broadway Books
12,13,3.44,12/3/2002,Broadway Books
13,14,3.87,9/14/2004,Broadway Books
14,15,4.07,5/15/2001,Broadway Books
15,16,3.9,6/28/2000,Broadway Books
16,17,3.83,8/28/1990,William Morrow Paperbacks
2,18,3.86,3/28/1993,William Morrow Paperbacks
17,19,3.91,5/28/1997,William Morrow Paperbacks
18,20,3.93,9/28/1991,William Morrow Paperbacks
1,21,4.59,9/25/2012,Ballantine Books
19,22,4.5,10/21/2004,Houghton Mifflin Harcourt
20,23,4.36,9/5/2003,Houghton Mifflin Harcourt
19,24,4.5,10/1/2002,Houghton Mifflin Harcourt
21,25,4.53,11/5/2003,Houghton Mifflin Harcourt
22,26,4.5,11/15/2004,Houghton Mifflin Harcourt
23,27,3.84,7/28/2005,Pragmatic Bookshelf
24,28,3.72,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books
25,29,4.0,8/28/1994,Teacher Created Resources
26,30,3.88,1/23/2001,Delacorte Press
27,31,4.33,6/10/2003,Cherry Lane Music Company
25,32,3.45,11/1/2005,The New Press
28,33,3.76,11/1/2005,Changeling Press
29,34,3.6,8/17/2006,Viking Juvenile
30,35,4.06,4/14/2003,Firebird
31,36,4.17,6/8/2004,iUniverse
32,37,3.55,4/12/2005,Shambhala
33,38,3.98,8/28/1990,Ivy Books
34,39,3.83,8/29/2006,Amistad
25,40,3.83,6/15/2004,HarperAudio
8,41,3.83,6/15/2004,Harper
24,42,3.83,5/15/2006,FT Press
35,43,4.13,12/14/2005,Archaia
36,44,4.42,6/1/1982,Farrar  Straus and Giroux
37,45,3.95,5/16/2006,Farrar Straus Giroux
38,46,4.17,4/1/1986,Farrar  Straus and Giroux
5,47,4.24,9/1/1990,Farrar  Straus and Giroux
39,48,4.34,1/6/1999,Farrar  Straus and Giroux
40,49,4.22,4/1/1991,Farrar  Straus and Giroux
41,50,3.92,4/1/1994,Farrar  Straus and Giroux
42,51,4.23,4/1/1994,Farrar  Straus and Giroux
43,52,4.23,11/1/1987,Farrar  Straus and Giroux
27,53,3.75,3/1/2002,Dramatists Play Service
30,54,3.84,7/2/1991,Vintage
44,55,3.94,3/29/2006,Routledge
6,56,3.77,3/14/2006,North Light Books
3,57,4.46,9/1/2003,Chosen Books
28,58,3.68,1/28/1997,Association for Supervision & Curriculum Development
45,59,3.99,11/15/2002,Kingfisher
46,60,3.25,11/15/2004,ASCD
47,61,4.46,4/28/2003,Sovereign World
18,62,3.89,10/16/2003,Workman Publishing Company
34,63,3.82,5/10/2004,One Hour Entertainment
18,64,3.78,8/19/2004,North Light Books
48,65,3.84,6/15/1987,Ace Books
49,66,3.91,7/1/1987,Ace Books
12,67,3.88,7/15/1987,Ace Books
12,68,4.01,7/1/2004,Tor Books
50,69,3.86,4/16/1984,Putnam
51,70,3.88,8/29/2006,Tor Science Fiction
52,71,3.86,8/15/1987,Ace Books
53,72,4.59,6/12/2002,Houghton Mifflin Harcourt
54,73,4.35,9/29/1996,Ballantine Books
55,74,4.35,9/13/2005,Delacorte Books for Young Readers
56,75,4.28,11/1/2004,Thomas Nelson
57,76,3.34,5/19/2006,Wiley
58,77,3.67,2/7/2000,Heinemann Drama
