user,item,rating,timestamp,feature,feature1
0,0,3.85,2004.0,Fiction,Marilynne Robinson
1,1,3.83,2000.0,Detective and mystery stories,Charles Osborne;Agatha Christie
2,2,3.97,1982.0,American fiction,Stephen R. Donaldson
3,3,3.93,1993.0,Fiction,Sidney Sheldon
4,4,4.15,2002.0,Christian life,Clive Staples Lewis
5,5,4.09,2002.0,Christian life,Clive Staples Lewis
6,6,4.27,1977.0,"Authors, English",Agatha Christie
5,7,4.41,1998.0,"Africa, East",Richard Hall
7,8,4.15,1994.0,"Hyland, Morn (Fictitious character)",Stephen R. Donaldson
8,9,4.11,1982.0,Adventure stories,Sidney Sheldon
9,10,4.04,1994.0,Adventure stories,Sidney Sheldon
10,11,4.15,1996.0,American fiction,Robin Hobb
11,12,4.03,1995.0,Fiction,Janny Wurts
12,13,4.04,1996.0,Arthurian romances,Terence Hanbury White
13,14,3.7,2003.0,Adventure stories,Raymond E. Feist;Joel Rosenberg
14,15,3.95,2003.0,Fantasy fiction,Raymond E. Feist;S. M. Stirling
15,16,3.66,2001.0,,Margaret Weis;Tracy Hickman
16,17,4.05,1995.0,English drama,Agatha Christie
17,18,3.66,1998.0,Country life,Philippa Gregory
18,19,4.23,1996.0,English fiction,Susan Howatch
18,20,4.07,1996.0,English fiction,Susan Howatch
19,21,4.2,1996.0,Clergy,Susan Howatch
20,22,4.24,2000.0,Fantasy fiction,Robin Hobb
21,23,4.29,1996.0,"Aubrey, Jack (Fictitious character)",Patrick O'Brian
22,24,4.41,1997.0,Adventure stories,Patrick O'Brian
23,25,4.2,1997.0,"Detective and mystery stories, English",Agatha Christie
24,26,3.73,2003.0,Black Death,Kim Stanley Robinson
25,27,4.13,1998.0,Human cloning,Michael Marshall Smith
6,28,4.04,2004.0,Science fiction,Tess Gerritsen
26,29,3.31,2002.0,Great Britain,Philippa Gregory
27,30,3.26,2000.0,American fiction,Jessica Adams;Chris Manby;Fiona Walker
28,31,4.17,1993.0,American essays,Joan Didion
29,32,3.98,2001.0,China,Amy Tan
30,33,3.59,2000.0,Capitalism,Thomas L. Friedman
31,34,3.68,2000.0,Ireland,Frank McCourt
32,35,3.5,2002.0,Juvenile Fiction,Mark Haddon;Peter Sutton
33,36,4.27,2000.0,"Children's stories, English",Joan Aiken
13,37,4.1,2000.0,Juvenile Fiction,Elinor Mary Brent-Dyer
17,38,3.56,2001.0,Male friendship,Peter Straub
34,39,4.09,2001.0,Literary Collections,John Ronald Reuel Tolkien
18,40,3.77,2001.0,"Beresford, Tommy (Fictitious character)",Agatha Christie
35,41,3.89,2001.0,Detective and mystery stories,Agatha Christie
36,42,4.59,2003.0,Imaginary wars and battles,Jude Fisher
31,43,3.69,2002.0,Dysfunctional families,Douglas Coupland
37,44,3.8,2001.0,Detective and mystery stories,Agatha Christie
26,45,3.86,2001.0,Detective and mystery stories,Agatha Christie
38,46,3.66,2001.0,"Poirot, Hercule (Fictitious character)",Agatha Christie
39,47,3.93,2001.0,Christmas stories,Agatha Christie
40,48,3.59,2002.0,Detective and mystery stories,Agatha Christie
2,49,3.89,2002.0,"Detective and mystery stories, English",Agatha Christie
38,50,3.75,2002.0,American fiction,Agatha Christie
27,51,3.98,2002.0,"Detective and mystery stories, English",Agatha Christie
36,52,3.91,2002.0,"Marple, Jane (Fictitious character)",Agatha Christie
41,53,3.83,2002.0,Belgians,Agatha Christie
32,54,3.71,2002.0,Fiction,Agatha Christie
42,55,3.79,2002.0,Detective and mystery stories,Agatha Christie
6,56,3.62,2002.0,Belgians,Agatha Christie
43,57,3.86,2001.0,"Battle, Superintendent (Fictitious character)",Agatha Christie
37,58,4.49,2001.0,"Baggins, Frodo (Fictitious character)",J. R. R. Tolkien
10,59,4.07,2002.0,Cambridge (Mass.),Louis Menand
44,60,4.14,2002.0,Fiction,Ray Bradbury
1,61,3.59,2002.0,Business enterprises,Diana Wynne Jones
34,62,3.76,2002.0,Emotional problems,Patricia McCormick
38,58,4.54,2004.0,Characters and characteristics in motion pictures,Gary Russell
45,58,4.49,2002.0,"Fantasy fiction, English",John Ronald Reuel Tolkien
41,63,4.35,2002.0,"Baggins, Frodo (Fictitious character)",John Ronald Reuel Tolkien;Alan Lee
20,64,4.3,2004.0,Fantasy fiction,Garth Nix
46,65,4.08,2002.0,"Fairy tales, English",John Ronald Reuel Tolkien
47,66,4.06,2004.0,Hallucinogenic drugs,Daniel Pinchbeck
23,67,3.7,2007.0,Fiction,Michael Chabon
9,68,3.88,2003.0,Children's stories,Carolyn Meyer
20,69,3.51,2005.0,Parenthood,Tony Parsons
8,70,3.77,2002.0,FICTION,Agatha Christie
48,71,3.6,2004.0,Literary Collections,Jonathan Franzen
44,72,3.72,2003.0,Detective and mystery stories,Agatha Christie
33,73,3.55,2003.0,Detective and mystery stories,Agatha Christie
20,74,4.04,2004.0,Biography & Autobiography,Merlin Holland
49,75,4.2,2003.0,"Authors, American",Dr. Seuss
50,76,4.35,2003.0,Adventure stories,Dr. Seuss
51,77,3.95,2003.0,"Vietnam War, 1961-1975",Tim O'Brien
8,78,4.52,2003.0,"Baggins, Frodo (Fictitious character)",J. R. R. Tolkien
