user,item,rating,timestamp,feature Str
0,0,4.0,26-10-2023,True
1,0,5.0,06-11-2023,True
2,0,5.0,01-11-2023,True
3,0,5.0,25-10-2023,True
4,0,5.0,01-11-2023,True
5,0,5.0,06-11-2023,True
6,0,5.0,31-10-2023,True
7,0,5.0,02-11-2023,True
8,0,5.0,25-10-2023,True
9,0,5.0,28-10-2023,True
10,1,4.0,02-11-2022,True
11,1,4.0,06-11-2023,True
12,1,5.0,11-12-2022,True
13,1,4.0,02-11-2023,True
14,1,3.0,14-11-2022,True
15,1,5.0,05-11-2023,True
16,1,5.0,05-11-2023,True
17,1,4.0,30-10-2023,True
18,1,5.0,02-11-2023,True
19,1,5.0,05-11-2023,True
20,2,5.0,24-10-2023,True
21,2,5.0,04-09-2023,True
22,2,5.0,19-05-2023,True
23,2,5.0,10-01-2023,True
24,2,4.0,26-11-2022,True
25,2,5.0,12-11-2022,True
26,2,5.0,23-02-2023,True
27,2,4.0,12-11-2022,True
28,2,5.0,23-01-2023,True
29,2,5.0,26-01-2023,True
30,3,4.0,23-10-2023,True
31,3,5.0,04-09-2023,True
32,3,5.0,04-11-2023,True
33,3,5.0,25-08-2023,True
34,3,5.0,20-09-2023,True
35,3,5.0,31-10-2023,True
36,3,5.0,06-10-2023,True
37,3,5.0,01-11-2023,True
38,3,5.0,09-10-2023,True
39,3,5.0,17-07-2023,True
40,4,5.0,25-10-2023,True
41,4,5.0,30-10-2023,True
42,4,5.0,29-10-2023,True
43,4,5.0,01-11-2023,True
44,4,5.0,01-11-2023,True
45,4,5.0,27-10-2023,True
46,4,5.0,29-10-2023,True
47,4,5.0,26-10-2023,True
48,4,5.0,02-11-2023,True
49,4,5.0,03-11-2023,True
50,5,5.0,05-11-2023,True
51,5,4.0,24-10-2023,True
52,5,5.0,04-10-2023,True
53,5,5.0,09-10-2023,True
54,5,5.0,04-11-2023,True
55,5,5.0,29-10-2023,True
56,5,5.0,29-10-2023,True
57,5,5.0,19-05-2017,True
58,5,4.0,23-10-2023,True
59,5,5.0,26-07-2023,True
60,6,5.0,14-10-2015,True
61,6,2.0,20-01-2016,True
62,6,5.0,03-11-2023,True
63,6,5.0,17-08-2018,True
64,6,5.0,14-10-2023,True
65,6,5.0,23-03-2015,True
66,6,5.0,23-02-2017,True
67,6,5.0,18-08-2017,True
68,6,5.0,31-10-2023,True
69,6,5.0,31-10-2023,True
70,7,5.0,24-05-2020,True
71,7,5.0,25-07-2020,True
72,7,5.0,09-09-2023,True
73,7,5.0,02-11-2023,True
74,7,5.0,12-09-2023,True
75,7,5.0,16-10-2023,True
76,7,5.0,02-11-2023,True
77,7,4.0,27-09-2023,True
78,7,5.0,29-10-2023,True
79,7,5.0,03-11-2023,True
80,8,5.0,06-11-2023,True
81,8,5.0,03-11-2023,True
82,8,5.0,29-09-2023,True
83,8,5.0,14-10-2015,True
84,8,5.0,03-06-2010,True
85,8,5.0,20-10-2023,True
86,8,4.0,07-09-2023,True
87,8,5.0,07-08-2014,True
88,8,5.0,14-02-2022,True
89,8,5.0,10-02-2010,True
90,9,5.0,18-10-2018,True
91,9,5.0,14-08-2023,True
92,9,5.0,02-10-2023,True
93,9,5.0,06-11-2023,True
94,9,5.0,30-08-2023,True
95,9,5.0,06-11-2023,True
96,9,5.0,30-05-2019,True
97,9,5.0,16-10-2018,True
98,9,5.0,26-04-2020,True
