user,item,rating,feature
0,0,4.0,33
1,1,5.0,34
2,2,3.0,60
3,3,5.0,50
4,4,5.0,47
5,1,2.0,49
6,5,5.0,39
7,5,4.0,39
8,2,5.0,24
9,2,5.0,34
10,2,3.0,53
11,6,5.0,39
12,6,5.0,53
13,0,5.0,44
14,2,3.0,50
15,7,4.0,47
16,7,3.0,34
17,8,5.0,41
18,9,5.0,32
19,2,5.0,47
20,4,4.0,33
21,1,4.0,55
22,2,2.0,31
23,2,3.0,34
24,4,5.0,55
25,10,3.0,31
26,11,2.0,33
27,12,4.0,31
28,13,5.0,53
29,14,5.0,28
30,15,5.0,33
31,15,5.0,46
32,15,5.0,21
33,11,2.0,36
34,10,5.0,39
35,15,4.0,65
36,16,4.0,29
37,11,5.0,38
38,13,5.0,36
39,17,5.0,59
40,17,4.0,47
41,17,5.0,40
42,18,5.0,23
43,19,4.0,67
44,17,5.0,48
45,17,4.0,43
46,17,5.0,40
47,20,5.0,52
48,18,5.0,56
49,17,5.0,33
50,17,4.0,46
51,17,5.0,41
52,21,3.0,39
53,17,5.0,39
54,17,4.0,66
55,17,5.0,61
56,22,2.0,33
57,17,3.0,31
58,6,4.0,36
59,22,4.0,52
60,6,5.0,41
61,22,1.0,36
62,17,5.0,28
63,17,5.0,57
64,17,5.0,43
65,17,4.0,58
66,17,4.0,60
67,17,5.0,40
68,17,2.0,37
69,23,3.0,56
70,24,4.0,38
71,25,2.0,36
72,26,5.0,27
73,27,4.0,47
74,28,5.0,59
75,24,5.0,48
76,29,4.0,31
77,26,2.0,28
78,30,5.0,47
79,28,4.0,62
80,31,5.0,68
81,32,5.0,61
82,33,5.0,33
83,25,5.0,68
84,34,3.0,37
85,27,1.0,58
86,26,4.0,39
87,28,4.0,39
88,24,2.0,38
89,30,4.0,24
90,23,4.0,51
91,26,5.0,29
92,34,5.0,23
93,28,5.0,31
94,26,4.0,23
95,32,5.0,83
96,24,1.0,44
97,34,1.0,44
98,33,5.0,50
99,34,3.0,33
100,34,4.0,39
101,32,4.0,40
102,25,5.0,69
103,25,2.0,23
104,32,2.0,51
105,30,5.0,66
106,30,4.0,47
107,30,4.0,66
108,30,5.0,23
109,28,5.0,47
110,34,1.0,44
111,28,3.0,44
112,30,5.0,50
113,28,5.0,61
114,29,2.0,32
115,32,4.0,52
116,31,4.0,51
117,23,5.0,32
118,26,2.0,37
119,30,5.0,54
120,34,5.0,33
121,35,5.0,63
122,36,5.0,29
123,30,5.0,24
124,37,3.0,50
125,31,3.0,34
126,33,4.0,71
127,33,5.0,30
128,35,4.0,52
129,32,5.0,28
130,24,4.0,62
131,28,3.0,39
132,34,4.0,46
133,35,5.0,36
134,24,5.0,65
135,34,4.0,35
136,35,4.0,31
137,30,4.0,52
138,38,4.0,34
139,39,5.0,31
140,40,5.0,36
141,41,4.0,39
142,42,5.0,35
143,39,5.0,51
144,40,3.0,39
145,41,3.0,39
146,39,5.0,39
147,43,5.0,47
148,39,5.0,64
149,39,5.0,38
150,39,5.0,36
151,39,4.0,39
152,40,3.0,53
153,40,3.0,36
154,40,3.0,44
155,40,5.0,48
156,39,5.0,37
157,44,3.0,43
158,40,4.0,53
159,40,4.0,33
160,42,4.0,39
161,40,1.0,52
