user,item,rating,timestamp,feature Str,feature
0,0,92.0,November 2017,Medium-Light,4.7
1,1,92.0,November 2017,Medium-Light,4.19
2,2,94.0,November 2017,Medium,4.85
3,3,93.0,November 2017,Light,5.14
4,4,93.0,November 2017,Medium-Light,3.97
5,5,93.0,November 2017,Medium-Light,5.14
6,6,93.0,November 2017,Medium-Light,5.29
7,7,94.0,November 2017,Medium,3.76
8,8,90.0,November 2017,Medium,5.73
9,9,92.0,November 2017,Medium-Light,6.87
10,9,91.0,November 2017,Medium-Light,6.87
11,10,93.0,November 2017,Medium-Light,5.28
12,11,97.0,November 2017,Medium-Light,33.05
13,12,95.0,November 2017,Medium-Light,4.6
14,13,92.0,November 2017,Medium-Dark,5.29
15,12,95.0,November 2017,Medium-Light,3.89
16,14,94.0,November 2017,Medium-Light,4.65
17,15,93.0,November 2017,Light,5.58
18,16,93.0,November 2017,Medium-Light,5.86
19,2,92.0,November 2017,Medium-Light,4.41
20,17,93.0,November 2017,Light,5.58
21,18,92.0,November 2017,Medium-Light,4.98
22,19,89.0,December 2017,Medium,4.98
23,1,93.0,December 2017,Medium-Light,7.35
24,20,95.0,December 2017,Medium-Light,6.47
25,21,94.0,December 2017,Medium-Light,4.41
26,22,94.0,December 2017,Light,8.44
27,4,96.0,December 2017,Medium-Light,16.17
28,23,94.0,December 2017,Medium-Light,32.63
29,11,95.0,November 2017,Medium-Light,19.82
30,24,95.0,November 2017,Medium-Light,5.86
31,10,93.0,November 2017,Medium-Light,4.98
32,25,93.0,January 2018,Medium-Light,13.0
33,26,93.0,January 2018,Medium,17.7
34,27,95.0,December 2017,Medium-Light,26.46
35,27,93.0,December 2017,Light,17.64
36,28,92.0,December 2017,Medium-Light,13.23
37,15,93.0,December 2017,Light,5.0
38,29,94.0,December 2017,Light,5.28
39,19,92.0,December 2017,Medium-Light,7.35
40,30,91.0,December 2017,Medium-Light,7.05
41,31,90.0,February 2018,Medium,4.11
42,32,95.0,January 2018,Medium-Light,5.51
43,33,93.0,January 2018,Medium-Light,90.83
44,33,93.0,January 2018,Medium-Light,90.83
45,25,90.0,January 2018,Medium-Light,13.0
46,3,94.0,January 2018,Light,4.99
47,34,92.0,January 2018,Light,5.0
48,35,95.0,January 2018,Medium-Light,22.49
49,9,92.0,January 2018,Medium-Light,8.02
50,36,95.0,January 2018,Light,23.81
51,36,92.0,January 2018,Medium-Light,5.58
52,26,95.0,January 2018,Medium-Dark,9.2
53,30,92.0,February 2018,Medium,7.05
