user,item,rating,timestamp,feature Str
0,0,4.0,11-08-2024,Colour: MidnightSize: 256 GB
1,0,5.0,16-08-2024,Colour: MidnightSize: 256 GB
2,0,4.0,14-05-2024,Colour: MidnightSize: 256 GB
3,0,5.0,24-06-2024,Colour: MidnightSize: 256 GB
4,0,5.0,18-05-2024,Colour: MidnightSize: 256 GB
5,0,5.0,14-05-2024,Colour: MidnightSize: 256 GB
6,0,5.0,28-01-2024,Colour: MidnightSize: 256 GB
7,0,5.0,01-03-2024,Colour: MidnightSize: 256 GB
8,0,4.0,14-11-2023,Colour: MidnightSize: 256 GB
9,0,5.0,03-02-2024,Colour: MidnightSize: 256 GB
10,0,5.0,06-02-2022,Colour: PinkSize: 256 GB
11,0,5.0,06-07-2024,Colour: PinkSize: 256 GB
12,0,5.0,18-05-2024,Colour: PinkSize: 256 GB
13,0,5.0,11-03-2024,Colour: PinkSize: 256 GB
14,0,4.0,12-10-2023,Colour: PinkSize: 256 GB
15,0,5.0,11-03-2022,Colour: PinkSize: 256 GB
16,0,3.0,31-10-2023,Colour: PinkSize: 256 GB
17,0,5.0,29-11-2023,Colour: PinkSize: 256 GB
18,0,5.0,08-09-2022,Colour: PinkSize: 256 GB
19,0,2.0,14-02-2024,Colour: PinkSize: 256 GB
20,0,5.0,06-08-2024,Colour: BlueSize: 256 GB
21,0,3.0,25-06-2024,Colour: BlueSize: 256 GB
22,0,3.0,12-05-2024,Colour: BlueSize: 256 GB
23,0,2.0,21-07-2024,Colour: BlueSize: 256 GB
24,0,5.0,04-11-2023,Colour: BlueSize: 256 GB
25,0,5.0,15-02-2024,Colour: BlueSize: 256 GB
26,0,4.0,07-08-2024,Colour: BlueSize: 256 GB
27,0,5.0,24-01-2024,Colour: BlueSize: 256 GB
28,0,4.0,07-04-2022,Colour: BlueSize: 256 GB
29,0,5.0,10-12-2023,Colour: BlueSize: 256 GB
30,0,4.0,10-08-2024,Colour: GreenSize: 256 GB
31,0,4.0,18-07-2024,Colour: GreenSize: 256 GB
32,0,5.0,22-08-2024,Colour: GreenSize: 256 GB
33,0,5.0,07-07-2024,Colour: GreenSize: 256 GB
34,0,5.0,01-06-2024,Colour: GreenSize: 256 GB
35,0,5.0,11-10-2023,Colour: GreenSize: 256 GB
36,0,2.0,02-07-2024,Colour: GreenSize: 256 GB
37,0,4.0,29-10-2023,Colour: GreenSize: 256 GB
38,0,5.0,29-11-2023,Colour: GreenSize: 256 GB
39,0,3.0,06-11-2023,Colour: GreenSize: 256 GB
40,0,4.0,19-08-2024,Colour: PinkSize: 128 GB
41,0,5.0,04-09-2024,Colour: PinkSize: 128 GB
42,0,5.0,22-06-2024,Colour: PinkSize: 128 GB
43,0,5.0,18-09-2024,Colour: PinkSize: 128 GB
44,0,5.0,19-09-2024,Colour: PinkSize: 128 GB
45,0,3.0,20-10-2023,Colour: PinkSize: 128 GB
46,0,5.0,17-08-2024,Colour: PinkSize: 128 GB
47,0,3.0,11-09-2024,Colour: PinkSize: 128 GB
48,0,4.0,06-04-2024,Colour: PinkSize: 128 GB
49,0,5.0,14-08-2024,Colour: PinkSize: 128 GB
50,0,4.0,12-08-2024,Colour: StarlightSize: 256 GB
51,0,4.0,29-06-2024,Colour: StarlightSize: 256 GB
52,0,3.0,15-09-2024,Colour: StarlightSize: 256 GB
53,0,4.0,01-11-2023,Colour: StarlightSize: 256 GB
54,0,3.0,07-08-2024,Colour: StarlightSize: 256 GB
55,0,5.0,10-08-2024,Colour: StarlightSize: 256 GB
56,0,5.0,11-05-2024,Colour: StarlightSize: 256 GB
57,0,5.0,07-06-2024,Colour: StarlightSize: 256 GB
58,0,5.0,21-09-2023,Colour: StarlightSize: 256 GB
59,0,5.0,15-04-2024,Colour: StarlightSize: 256 GB
60,0,4.0,18-09-2024,Colour: GreenSize: 128 GB
61,0,5.0,10-09-2024,Colour: GreenSize: 128 GB
62,0,5.0,16-09-2024,Colour: GreenSize: 128 GB
63,0,5.0,21-08-2024,Colour: GreenSize: 128 GB
64,0,5.0,16-08-2024,Colour: GreenSize: 128 GB
65,0,5.0,31-08-2024,Colour: GreenSize: 128 GB
66,0,4.0,11-05-2024,Colour: GreenSize: 128 GB
67,0,5.0,12-08-2024,Colour: GreenSize: 128 GB
68,0,3.0,21-08-2024,Colour: GreenSize: 128 GB
69,0,5.0,12-08-2024,Colour: GreenSize: 128 GB
70,0,5.0,13-09-2024,Colour: StarlightSize: 128 GB
71,0,5.0,15-09-2024,Colour: StarlightSize: 128 GB
72,0,5.0,15-09-2024,Colour: StarlightSize: 128 GB
73,0,5.0,08-10-2023,Colour: StarlightSize: 128 GB
74,0,5.0,09-09-2024,Colour: StarlightSize: 128 GB
75,0,5.0,11-09-2024,Colour: StarlightSize: 128 GB
76,0,4.0,07-08-2024,Colour: StarlightSize: 128 GB
77,0,5.0,28-08-2024,Colour: StarlightSize: 128 GB
78,0,5.0,24-02-2024,Colour: StarlightSize: 128 GB
79,0,4.0,11-07-2024,Colour: StarlightSize: 128 GB
80,0,5.0,13-11-2023,Colour: MidnightSize: 128 GB
81,0,4.0,27-06-2024,Colour: MidnightSize: 128 GB
82,0,5.0,06-09-2024,Colour: MidnightSize: 128 GB
83,0,5.0,18-09-2024,Colour: MidnightSize: 128 GB
84,0,5.0,16-09-2024,Colour: MidnightSize: 128 GB
85,0,5.0,16-09-2024,Colour: MidnightSize: 128 GB
86,0,4.0,13-08-2024,Colour: MidnightSize: 128 GB
87,0,5.0,07-09-2024,Colour: MidnightSize: 128 GB
88,0,5.0,02-09-2024,Colour: MidnightSize: 128 GB
89,0,5.0,11-08-2024,Colour: MidnightSize: 128 GB
90,0,5.0,11-01-2023,Colour: BlueSize: 256 GB
91,0,5.0,03-10-2022,Colour: BlueSize: 256 GB
92,0,5.0,11-09-2022,Colour: BlueSize: 256 GB
93,0,5.0,10-06-2022,Colour: BlueSize: 256 GB
94,0,5.0,12-02-2022,Colour: BlueSize: 256 GB
95,0,5.0,17-06-2022,Colour: BlueSize: 256 GB
96,0,5.0,10-06-2022,Colour: BlueSize: 256 GB
97,0,5.0,27-11-2021,Colour: BlueSize: 256 GB
98,0,5.0,19-11-2021,Colour: BlueSize: 256 GB
99,0,5.0,04-04-2022,Colour: BlueSize: 256 GB
100,0,5.0,19-11-2022,Colour: GreenSize: 256 GB
101,0,5.0,27-11-2022,Colour: GreenSize: 256 GB
102,0,2.0,09-11-2023,Colour: GreenSize: 256 GB
103,0,5.0,05-09-2022,Colour: GreenSize: 256 GB
104,0,2.0,27-06-2023,Colour: GreenSize: 256 GB
105,0,4.0,24-03-2022,Colour: GreenSize: 256 GB
106,0,5.0,16-07-2022,Colour: GreenSize: 256 GB
107,0,5.0,28-08-2022,Colour: GreenSize: 256 GB
108,0,5.0,28-07-2022,Colour: GreenSize: 256 GB
109,0,5.0,11-06-2022,Colour: GreenSize: 256 GB
110,0,5.0,17-09-2024,Colour: (PRODUCT) REDSize: 128 GB
111,0,4.0,30-07-2022,Colour: (PRODUCT) REDSize: 128 GB
112,0,4.0,12-07-2024,Colour: (PRODUCT) REDSize: 128 GB
113,0,5.0,31-08-2024,Colour: (PRODUCT) REDSize: 128 GB
114,0,5.0,14-08-2024,Colour: (PRODUCT) REDSize: 128 GB
115,0,5.0,07-08-2024,Colour: (PRODUCT) REDSize: 128 GB
116,0,5.0,23-07-2024,Colour: (PRODUCT) REDSize: 128 GB
117,0,5.0,08-07-2024,Colour: (PRODUCT) REDSize: 128 GB
118,0,5.0,11-05-2024,Colour: (PRODUCT) REDSize: 128 GB
119,0,5.0,15-05-2024,Colour: (PRODUCT) REDSize: 128 GB
120,0,5.0,30-12-2023,Colour: BlueSize: 128 GB
121,0,5.0,24-07-2024,Colour: BlueSize: 128 GB
122,0,5.0,25-06-2024,Colour: BlueSize: 128 GB
123,0,4.0,04-02-2023,Colour: BlueSize: 128 GB
124,0,4.0,18-07-2024,Colour: BlueSize: 128 GB
125,0,4.0,17-08-2024,Colour: BlueSize: 128 GB
126,0,4.0,06-08-2024,Colour: BlueSize: 128 GB
127,0,4.0,13-08-2024,Colour: BlueSize: 128 GB
128,0,4.0,16-08-2024,Colour: BlueSize: 128 GB
129,0,5.0,06-09-2024,Colour: BlueSize: 128 GB
130,0,1.0,27-10-2022,Colour: PinkSize: 256 GB
131,0,1.0,31-03-2022,Colour: PinkSize: 256 GB
132,0,1.0,01-07-2022,Colour: PinkSize: 256 GB
133,0,5.0,09-08-2024,Colour: PinkSize: 256 GB
134,0,5.0,09-10-2023,Colour: PinkSize: 256 GB
135,0,5.0,12-08-2022,Colour: PinkSize: 256 GB
136,0,2.0,08-03-2022,Colour: PinkSize: 256 GB
137,0,5.0,05-07-2022,Colour: PinkSize: 256 GB
