user,item,rating,timestamp
0,0,1.0,3 months ago
1,0,4.0,5 days ago
2,0,1.0,5 days ago
3,0,5.0,a month ago
4,0,1.0,2 months ago
5,0,1.0,3 weeks ago
6,0,1.0,3 months ago
7,0,1.0,a year ago
8,0,1.0,3 months ago
9,0,4.0,3 months ago
10,0,1.0,3 months ago
11,0,2.0,6 months ago
12,0,1.0,6 months ago
13,0,3.0,a year ago
14,0,1.0,5 months ago
15,0,2.0,2 months ago
16,0,4.0,a year ago
17,0,1.0,2 months ago
18,0,1.0,7 months ago
19,0,4.0,7 months ago
20,0,1.0,10 months ago
21,0,1.0,4 years ago
22,0,2.0,a month ago
23,0,1.0,8 months ago
24,0,1.0,4 months ago
25,0,1.0,6 months ago
26,0,4.0,a month ago
27,0,2.0,a month ago
28,0,1.0,3 months ago
29,0,1.0,3 years ago
30,0,1.0,2 years ago
31,0,2.0,9 months ago
32,0,1.0,a year ago
33,0,1.0,a year ago
34,0,2.0,10 months ago
35,0,1.0,a year ago
36,0,1.0,7 months ago
37,0,5.0,4 months ago
38,0,5.0,3 months ago
39,0,1.0,9 months ago
40,0,1.0,11 months ago
41,0,1.0,a year ago
42,0,3.0,a year ago
43,0,5.0,7 months ago
44,0,1.0,4 months ago
45,0,2.0,a year ago
46,0,1.0,5 months ago
47,0,1.0,a year ago
48,0,1.0,a year ago
49,0,1.0,a year ago
50,0,1.0,10 months ago
51,0,1.0,a year ago
52,0,1.0,a year ago
53,0,3.0,a year ago
54,0,4.0,7 months ago
55,0,3.0,5 months ago
56,0,4.0,a year ago
57,0,1.0,a year ago
58,0,4.0,a year ago
59,0,4.0,4 months ago
60,0,1.0,10 months ago
61,0,1.0,7 months ago
62,0,2.0,2 years ago
63,0,5.0,a year ago
64,0,3.0,2 years ago
65,0,2.0,3 years ago
66,0,1.0,4 months ago
67,0,2.0,a year ago
68,0,1.0,a year ago
69,0,1.0,a year ago
70,0,1.0,a year ago
71,0,3.0,a year ago
72,0,3.0,2 years ago
73,0,1.0,5 years ago
74,0,1.0,2 years ago
75,0,1.0,2 years ago
76,0,4.0,a year ago
77,0,5.0,a year ago
78,0,4.0,a year ago
79,0,1.0,7 months ago
80,0,4.0,3 years ago
81,0,4.0,2 years ago
82,0,1.0,2 years ago
83,0,3.0,5 years ago
84,0,5.0,a year ago
85,0,3.0,3 years ago
86,0,1.0,2 years ago
87,0,1.0,a year ago
88,0,1.0,3 years ago
89,0,1.0,a year ago
90,0,1.0,5 years ago
91,0,1.0,3 years ago
92,0,1.0,5 years ago
93,0,3.0,4 years ago
94,0,1.0,3 years ago
95,0,1.0,4 years ago
96,0,1.0,2 years ago
97,0,1.0,3 years ago
98,0,5.0,6 months ago
99,0,4.0,a year ago
100,0,5.0,2 years ago
101,0,3.0,a year ago
102,0,1.0,6 years ago
103,0,1.0,2 years ago
104,0,1.0,4 years ago
105,0,1.0,7 years ago
106,0,1.0,6 years ago
107,0,1.0,4 years ago
108,0,1.0,5 years ago
109,0,2.0,2 years ago
110,0,1.0,3 years ago
111,0,5.0,2 months ago
112,0,2.0,4 years ago
113,0,1.0,a year ago
114,0,1.0,a year ago
115,0,2.0,5 years ago
116,0,1.0,3 years ago
117,0,4.0,3 years ago
118,0,1.0,4 years ago
119,0,2.0,4 years ago
120,0,2.0,4 years ago
121,0,1.0,5 years ago
122,0,5.0,4 years ago
123,0,1.0,3 years ago
124,0,1.0,a year ago
125,0,1.0,8 years ago
126,0,1.0,7 years ago
127,0,1.0,7 years ago
128,0,5.0,4 years ago
129,0,1.0,a year ago
130,0,1.0,2 years ago
131,0,1.0,8 years ago
132,0,3.0,2 years ago
133,0,1.0,3 years ago
134,0,1.0,3 years ago
135,0,5.0,4 years ago
136,0,3.0,2 years ago
137,0,1.0,4 years ago
138,0,1.0,a year ago
139,0,4.0,5 years ago
140,0,5.0,4 months ago
141,0,4.0,3 years ago
142,0,1.0,3 years ago
143,0,3.0,4 years ago
144,0,1.0,8 months ago
145,0,5.0,5 years ago
146,0,4.0,4 years ago
147,0,1.0,a year ago
148,0,1.0,a year ago
149,0,5.0,4 years ago
150,0,1.0,7 years ago
151,0,5.0,a year ago
152,0,1.0,3 years ago
153,0,1.0,3 years ago
154,0,3.0,6 years ago
155,0,1.0,2 years ago
156,0,1.0,6 years ago
157,0,1.0,2 years ago
158,0,2.0,8 months ago
159,0,4.0,5 years ago
160,0,1.0,a year ago
161,0,5.0,4 years ago
162,0,5.0,4 years ago
163,0,5.0,3 years ago
164,0,3.0,4 years ago
165,0,5.0,11 months ago
166,0,3.0,a year ago
167,0,1.0,5 years ago
168,0,1.0,2 years ago
169,0,1.0,2 years ago
170,0,1.0,2 years ago
171,0,4.0,a year ago
172,0,5.0,5 years ago
173,0,1.0,4 years ago
174,0,1.0,4 years ago
175,0,4.0,4 years ago
176,0,2.0,4 years ago
177,0,2.0,4 years ago
178,0,5.0,a year ago
179,0,4.0,3 years ago
180,0,5.0,2 years ago
181,0,5.0,a year ago
182,0,4.0,4 years ago
183,0,4.0,a year ago
184,0,5.0,3 years ago
185,0,3.0,6 months ago
186,0,1.0,4 years ago
187,0,3.0,3 years ago
188,0,1.0,6 years ago
189,0,1.0,6 years ago
190,0,1.0,5 years ago
191,0,3.0,4 years ago
192,0,4.0,a year ago
193,0,5.0,a year ago
194,0,4.0,a year ago
195,0,3.0,a year ago
196,0,4.0,8 months ago
197,0,2.0,a year ago
198,0,3.0,2 years ago
199,0,2.0,3 years ago
200,0,1.0,2 years ago
201,0,5.0,3 years ago
202,0,3.0,3 years ago
203,0,1.0,3 years ago
204,0,3.0,4 years ago
205,0,5.0,2 years ago
206,0,1.0,a year ago
207,0,1.0,a year ago
208,0,4.0,9 months ago
209,0,3.0,a year ago
210,0,3.0,4 years ago
211,0,5.0,3 years ago
212,0,5.0,5 years ago
213,0,5.0,a year ago
214,0,1.0,a year ago
215,0,1.0,4 years ago
216,0,4.0,3 years ago
217,0,1.0,4 years ago
218,0,1.0,4 years ago
219,0,1.0,7 years ago
220,0,4.0,2 years ago
221,0,4.0,4 years ago
222,0,3.0,a year ago
223,0,1.0,a year ago
224,0,1.0,4 years ago
225,0,1.0,4 years ago
226,0,1.0,2 years ago
227,0,4.0,2 years ago
228,0,5.0,2 years ago
229,0,1.0,a year ago
230,0,1.0,2 years ago
231,0,5.0,6 years ago
232,0,5.0,5 years ago
233,0,1.0,3 years ago
234,0,3.0,a year ago
235,0,3.0,2 years ago
236,0,1.0,6 months ago
237,0,2.0,4 years ago
238,0,1.0,2 years ago
239,0,1.0,4 years ago
240,0,2.0,4 years ago
241,0,1.0,5 years ago
242,0,5.0,7 years ago
243,0,3.0,4 years ago
244,0,1.0,4 years ago
245,0,4.0,11 months ago
246,0,5.0,6 years ago
247,0,2.0,2 years ago
248,0,4.0,2 years ago
249,0,5.0,3 years ago
250,0,1.0,5 years ago
251,0,1.0,6 years ago
252,0,5.0,7 months ago
253,0,5.0,a year ago
254,0,5.0,2 years ago
255,0,1.0,3 years ago
256,0,5.0,4 years ago
257,0,1.0,3 years ago
258,0,4.0,2 years ago
259,0,5.0,3 years ago
260,0,1.0,4 years ago
261,0,1.0,2 years ago
262,0,5.0,4 years ago
263,0,1.0,4 years ago
264,0,5.0,10 months ago
265,0,1.0,6 years ago
266,0,4.0,4 years ago
267,0,4.0,4 years ago
268,0,4.0,2 years ago
269,0,1.0,7 years ago
270,0,1.0,6 years ago
271,0,1.0,4 years ago
272,0,3.0,4 years ago
273,0,5.0,7 months ago
274,0,1.0,7 years ago
275,0,5.0,a year ago
276,0,2.0,5 years ago
277,0,4.0,3 years ago
278,0,3.0,4 years ago
279,0,5.0,4 years ago
280,0,4.0,4 years ago
281,0,3.0,6 years ago
282,0,3.0,3 years ago
283,0,5.0,5 years ago
284,0,3.0,4 years ago
285,0,3.0,2 years ago
286,0,3.0,3 years ago
287,0,5.0,2 years ago
288,0,5.0,4 years ago
289,0,5.0,4 years ago
290,0,5.0,3 years ago
291,0,5.0,2 months ago
292,0,1.0,7 years ago
293,0,3.0,3 years ago
294,0,1.0,a year ago
295,0,2.0,2 years ago
296,0,5.0,3 years ago
297,0,1.0,3 years ago
298,0,1.0,5 years ago
299,0,1.0,7 years ago
300,0,1.0,3 years ago
301,0,1.0,6 months ago
302,0,1.0,3 years ago
303,0,5.0,4 years ago
304,0,5.0,10 months ago
305,0,5.0,9 months ago
306,0,2.0,6 years ago
307,0,1.0,4 years ago
308,0,4.0,3 months ago
309,0,5.0,6 years ago
310,0,1.0,5 years ago
311,0,2.0,3 years ago
312,0,2.0,a year ago
313,0,4.0,6 years ago
314,0,5.0,5 years ago
315,0,5.0,5 years ago
316,0,1.0,4 years ago
317,0,5.0,4 years ago
318,0,5.0,4 years ago
319,0,3.0,6 years ago
320,0,1.0,6 years ago
321,0,3.0,5 years ago
322,0,3.0,4 years ago
