user,item,rating,feature Str
0,0,3.75,Cup
1,1,1.0,Pack
2,2,2.25,Cup
3,3,2.75,Pack
4,4,3.75,Pack
5,5,4.75,Pack
6,6,4.0,Cup
7,7,3.75,Tray
8,8,0.25,Pack
9,9,2.5,Pack
10,10,5.0,Pack
11,11,5.0,Pack
12,12,4.25,Pack
13,2,4.5,Bowl
14,2,5.0,Pack
15,9,3.5,Cup
16,13,3.75,Pack
17,11,5.0,Pack
18,14,4.0,Pack
19,15,4.0,Pack
20,2,4.25,Cup
21,16,5.0,Pack
22,9,5.0,Cup
23,11,4.75,Pack
24,4,4.25,Pack
25,5,4.25,Bowl
26,17,3.5,Pack
27,2,4.75,Bowl
28,18,5.0,Bowl
29,9,4.0,Pack
30,5,5.0,Pack
31,2,4.5,Pack
32,19,4.0,Bowl
33,0,3.75,Bowl
34,9,5.0,Pack
35,20,1.5,Box
36,9,5.0,Cup
37,6,1.5,Tray
38,2,5.0,Cup
39,3,3.25,Pack
40,2,3.75,Cup
41,2,5.0,Cup
42,2,5.0,Cup
43,21,3.5,Pack
44,2,5.0,Cup
45,22,4.0,Pack
46,12,5.0,Pack
47,2,4.75,Bowl
48,23,4.25,Pack
49,24,2.0,Pack
50,25,4.5,Bowl
51,26,5.0,Pack
52,23,0.0,Pack
53,5,4.5,Bowl
54,27,3.5,Pack
55,2,5.0,Pack
56,12,4.5,Pack
57,28,5.0,Pack
58,2,4.5,Pack
59,2,5.0,Cup
60,29,1.0,Tray
61,30,4.0,Pack
62,7,4.5,Bowl
63,22,3.5,Pack
64,23,5.0,Bowl
65,31,4.5,Pack
66,32,3.5,Can
67,33,5.0,Pack
68,5,5.0,Bowl
69,18,5.0,Pack
70,34,3.5,Pack
71,5,3.75,Pack
72,35,4.0,Pack
73,9,3.75,Pack
74,6,3.5,Bowl
75,12,3.0,Pack
76,19,0.0,Bowl
77,35,1.5,Pack
78,36,4.0,Pack
79,37,5.0,Box
80,9,5.0,Cup
81,2,3.75,Pack
82,2,3.75,Cup
83,2,4.5,Pack
84,2,3.75,Cup
85,2,3.5,Pack
86,2,3.75,Cup
87,2,3.75,Pack
88,2,5.0,Cup
89,2,3.5,Pack
90,2,3.0,Cup
91,2,3.75,Pack
92,2,4.5,Cup
93,2,3.5,Pack
94,2,3.0,Cup
95,2,4.0,Pack
96,15,5.0,Bowl
97,38,4.75,Pack
98,5,3.75,Cup
99,6,4.25,Bowl
100,39,4.0,Pack
101,40,5.0,Pack
102,40,5.0,Pack
103,5,4.0,Bowl
104,25,4.75,Bowl
105,24,4.25,Pack
106,41,2.0,Pack
107,42,3.5,Pack
108,2,5.0,Cup
109,43,3.75,Pack
110,9,3.5,Cup
111,6,4.25,Cup
112,15,3.5,Pack
113,44,4.0,Pack
114,2,3.75,Cup
115,45,2.0,Bowl
116,2,3.25,Pack
117,38,5.0,Bowl
118,22,4.5,Pack
119,46,5.0,Bowl
120,2,3.5,Pack
121,9,3.5,Pack
122,9,4.25,Pack
123,9,5.0,Cup
124,9,3.25,Bowl
125,9,4.5,Pack
126,9,5.0,Bowl
127,9,5.0,Pack
128,9,4.0,Pack
129,9,5.0,Pack
130,9,3.5,Cup
131,9,3.0,Pack
132,9,5.0,Cup
133,9,4.25,Pack
134,9,5.0,Bowl
135,9,3.75,Cup
136,2,3.5,Cup
137,18,5.0,Box
138,47,4.5,Pack
139,23,5.0,Bowl
140,48,5.0,Pack
141,2,4.5,Bowl
142,49,4.75,Pack
143,50,3.5,Pack
144,36,4.25,Pack
145,2,3.75,Cup
146,51,3.5,Bowl
147,52,3.75,Bowl
148,18,5.0,Pack
149,0,4.0,Cup
150,38,5.0,Bowl
151,53,2.5,Pack
152,54,0.0,Cup
153,2,5.0,Cup
154,5,3.75,Pack
155,55,3.5,Pack
156,2,3.25,Cup
157,23,5.0,Pack
158,2,3.75,Cup
159,18,5.0,Box
160,43,4.5,Tray
161,56,3.75,Pack
162,57,4.25,Bowl
163,2,5.0,Bowl
164,58,5.0,Bowl
165,2,2.5,Cup
166,59,3.25,Pack
167,60,3.75,Pack
168,60,3.75,Pack
169,60,3.5,Pack
170,60,3.75,Pack
171,1,4.5,Pack
172,19,0.25,Pack
173,2,4.0,Cup
174,18,5.0,Pack
175,61,4.75,Bowl
176,34,3.75,Pack
177,62,5.0,Bowl
178,2,5.0,Cup
179,35,4.0,Pack
180,63,1.0,Tray
181,5,4.0,Bowl
182,34,3.25,Pack
183,47,4.25,Pack
184,2,3.75,Cup
185,8,3.0,Pack
186,18,5.0,Bowl
187,24,5.0,Pack
188,2,3.75,Cup
189,64,4.0,Cup
190,65,4.25,Pack
191,2,3.5,Bowl
192,34,4.0,Pack
193,23,4.75,Bowl
194,19,4.25,Pack
195,2,3.5,Cup
196,12,0.5,Cup
197,2,4.75,Cup
198,66,3.75,Pack
199,2,2.5,Cup
200,44,4.5,Pack
201,18,5.0,Box
202,2,3.25,Cup
203,23,5.0,Bowl
204,48,4.5,Pack
205,2,4.5,Pack
206,67,4.0,Bowl
207,68,3.5,Cup
208,5,4.5,Pack
