user,item,rating,timestamp,feature Str
0,0.0,2.0,2023-10-18,Economy Class
1,1.0,1.0,2023-08-22,Economy Class
2,1.0,3.0,2022-12-19,Economy Class
3,1.0,8.0,2022-07-05,Economy Class
4,0.0,1.0,2022-06-18,Economy Class
5,2.0,1.0,2022-06-18,Economy Class
6,3.0,7.0,2022-06-08,Economy Class
7,0.0,2.0,2022-05-27,Economy Class
8,0.0,2.0,2022-05-24,Economy Class
9,1.0,3.0,2022-03-25,Economy Class
0,1.0,3.0,2021-07-18,Economy Class
10,1.0,3.0,2020-03-23,Economy Class
11,2.0,1.0,2019-12-24,Economy Class
12,1.0,5.0,2019-11-25,Economy Class
13,0.0,1.0,2019-11-22,Economy Class
14,0.0,2.0,2019-09-08,Economy Class
15,1.0,2.0,2019-07-31,Economy Class
16,0.0,1.0,2019-07-29,Economy Class
10,0.0,3.0,2019-07-26,Economy Class
16,2.0,1.0,2019-07-24,Economy Class
17,0.0,2.0,2019-07-16,Economy Class
18,4.0,8.0,2019-07-01,Economy Class
19,0.0,2.0,2019-05-27,Economy Class
20,2.0,1.0,2019-05-18,Economy Class
21,3.0,1.0,2019-04-30,Economy Class
22,2.0,2.0,2019-04-27,Economy Class
23,0.0,1.0,2019-04-20,Economy Class
24,3.0,8.0,2019-02-12,Economy Class
25,3.0,8.0,2019-01-22,Economy Class
26,5.0,1.0,2018-12-20,Economy Class
27,1.0,3.0,2018-12-17,Economy Class
2,2.0,1.0,2018-09-10,Economy Class
28,2.0,1.0,2018-09-08,Economy Class
29,1.0,6.0,2018-08-20,Economy Class
29,2.0,1.0,2018-08-08,Economy Class
30,2.0,1.0,2018-08-03,Economy Class
31,0.0,2.0,2018-07-27,Economy Class
32,2.0,1.0,2018-07-13,Economy Class
33,0.0,3.0,2018-07-11,Economy Class
34,2.0,1.0,2018-07-08,Economy Class
35,1.0,1.0,2018-07-06,Economy Class
36,0.0,1.0,2018-06-28,Economy Class
37,0.0,1.0,2018-06-14,Economy Class
38,2.0,1.0,2018-06-05,Economy Class
39,1.0,2.0,2018-05-29,Economy Class
40,0.0,1.0,2018-04-24,Economy Class
41,3.0,8.0,2018-04-18,Economy Class
42,0.0,1.0,2018-03-28,Economy Class
43,2.0,1.0,2018-03-20,Economy Class
11,1.0,5.0,2018-02-19,Economy Class
44,0.0,4.0,2018-02-18,Economy Class
26,0.0,2.0,2018-02-09,Economy Class
45,0.0,1.0,2018-02-02,Economy Class
27,0.0,1.0,2018-01-30,Economy Class
46,0.0,2.0,2018-01-14,Economy Class
44,1.0,4.0,2018-01-13,Economy Class
47,1.0,3.0,2018-01-07,Economy Class
48,1.0,4.0,2018-01-05,Economy Class
49,2.0,1.0,2017-12-30,Economy Class
35,0.0,1.0,2017-12-25,Economy Class
7,1.0,5.0,2017-12-21,Economy Class
3,2.0,1.0,2017-12-18,Economy Class
50,0.0,1.0,2017-12-03,Economy Class
18,2.0,1.0,2017-11-23,Economy Class
51,2.0,1.0,2017-11-23,Economy Class
11,0.0,2.0,2017-11-22,Economy Class
2,0.0,1.0,2017-11-17,Economy Class
23,2.0,1.0,2017-11-06,Economy Class
6,0.0,1.0,2017-11-05,Economy Class
52,2.0,1.0,2017-10-27,Economy Class
53,2.0,1.0,2017-10-26,Economy Class
40,2.0,1.0,2017-10-20,Economy Class
45,2.0,1.0,2017-10-15,Economy Class
23,1.0,5.0,2017-10-15,Economy Class
0,2.0,2.0,2017-09-27,Economy Class
54,2.0,1.0,2017-09-23,Economy Class
55,1.0,5.0,2017-09-10,Economy Class
39,2.0,1.0,2017-08-31,Economy Class
56,2.0,1.0,2017-08-27,Economy Class
57,1.0,7.0,2017-08-10,Economy Class
58,2.0,1.0,2017-08-02,Economy Class
54,0.0,1.0,2017-07-30,Economy Class
59,0.0,2.0,2017-07-30,Economy Class
60,2.0,1.0,2017-07-30,Economy Class
9,2.0,1.0,2017-07-28,Economy Class
1,2.0,1.0,2017-06-30,Economy Class
61,0.0,1.0,2017-06-24,Economy Class
56,0.0,1.0,2017-06-21,Economy Class
62,1.0,6.0,2017-06-03,Economy Class
57,0.0,1.0,2017-06-02,Economy Class
30,1.0,9.0,2017-04-29,Economy Class
63,1.0,1.0,2017-03-28,Economy Class
64,0.0,3.0,2017-02-28,Economy Class
39,0.0,3.0,2017-01-30,Economy Class
20,0.0,3.0,2017-01-04,Economy Class
65,1.0,3.0,2016-12-20,Economy Class
62,4.0,10.0,2016-12-18,Economy Class
20,4.0,7.0,2016-11-28,Economy Class
50,4.0,10.0,2016-11-20,Economy Class
59,1.0,8.0,2016-11-01,Economy Class
9,0.0,1.0,2016-10-28,Economy Class
54,1.0,4.0,2016-10-26,Economy Class
66,0.0,4.0,2016-10-20,Economy Class
67,1.0,1.0,2016-10-20,Economy Class
2,3.0,9.0,2016-10-14,Economy Class
33,2.0,2.0,2016-09-27,Economy Class
68,3.0,6.0,2016-08-05,Economy Class
65,2.0,1.0,2016-07-20,Economy Class
69,2.0,1.0,2016-07-04,Economy Class
70,0.0,1.0,2016-07-04,Premium Economy
71,3.0,8.0,2016-06-06,Economy Class
65,0.0,4.0,2016-05-27,Premium Economy
3,0.0,3.0,2016-05-23,Economy Class
31,2.0,1.0,2016-04-03,Economy Class
13,3.0,5.0,2016-03-28,Economy Class
6,2.0,1.0,2016-03-02,Economy Class
41,2.0,1.0,2016-02-10,Economy Class
5,1.0,1.0,2016-01-26,Economy Class
37,2.0,1.0,2016-01-19,Economy Class
66,2.0,1.0,2016-01-06,Economy Class
72,2.0,1.0,2015-12-26,Economy Class
17,1.0,7.0,2015-12-22,Economy Class
73,2.0,1.0,2015-12-11,Economy Class
43,1.0,5.0,2015-12-06,Economy Class
1,3.0,5.0,2015-12-03,Economy Class
74,0.0,1.0,2015-12-01,Economy Class
10,3.0,2.0,2015-11-26,Economy Class
75,1.0,1.0,2015-11-25,Economy Class
76,0.0,1.0,2015-11-24,Economy Class
68,2.0,1.0,2015-11-18,Economy Class
36,3.0,7.0,2015-11-15,Economy Class
63,3.0,8.0,2015-11-12,Economy Class
58,0.0,1.0,2015-11-02,Economy Class
67,2.0,1.0,2015-10-30,Economy Class
18,1.0,1.0,2015-10-29,Economy Class
77,1.0,5.0,2015-10-27,Economy Class
53,1.0,3.0,2015-10-26,Business Class
78,0.0,3.0,2015-10-26,Economy Class
33,3.0,5.0,2015-10-24,Economy Class
31,4.0,10.0,2015-10-22,Economy Class
79,2.0,3.0,2015-10-21,Economy Class
57,2.0,1.0,2015-10-12,Economy Class
47,0.0,2.0,2015-10-12,Economy Class
35,2.0,2.0,2015-10-07,Economy Class
19,2.0,3.0,2015-10-04,Economy Class
80,2.0,5.0,2015-10-04,Economy Class
0,4.0,9.0,2015-10-04,Economy Class
56,1.0,10.0,2015-10-02,Economy Class
4,2.0,5.0,2015-10-01,Economy Class
81,0.0,3.0,2015-09-26,Economy Class
70,3.0,6.0,2015-09-23,Economy Class
71,2.0,1.0,2015-09-23,Economy Class
60,3.0,6.0,2015-09-21,Economy Class
82,3.0,1.0,2015-09-19,Economy Class
15,2.0,1.0,2015-09-19,Economy Class
47,3.0,5.0,2015-09-16,Economy Class
83,2.0,1.0,2015-09-14,Economy Class
84,2.0,1.0,2015-09-13,Economy Class
31,1.0,2.0,2015-09-05,Economy Class
55,2.0,1.0,2015-09-04,Economy Class
85,2.0,1.0,2015-09-04,Economy Class
76,1.0,6.0,2015-09-04,Economy Class
86,2.0,1.0,2015-09-03,Economy Class
50,2.0,1.0,2015-09-01,Economy Class
64,2.0,1.0,2015-09-01,Economy Class
24,1.0,8.0,2015-08-29,Economy Class
75,2.0,1.0,2015-08-28,Economy Class
58,4.0,10.0,2015-08-27,Economy Class
74,2.0,1.0,2015-08-27,Economy Class
87,0.0,2.0,2015-08-27,Economy Class
38,3.0,9.0,2015-08-27,Economy Class
8,4.0,8.0,2015-08-26,Economy Class
40,1.0,1.0,2015-08-22,Economy Class
88,3.0,9.0,2015-08-20,Economy Class
78,3.0,8.0,2015-08-19,Economy Class
68,0.0,1.0,2015-08-16,Economy Class
73,0.0,5.0,2015-08-15,Economy Class
89,2.0,2.0,2015-08-15,Economy Class
44,2.0,2.0,2015-08-11,Economy Class
16,1.0,2.0,2015-08-11,Economy Class
38,4.0,10.0,2015-08-10,Economy Class
49,1.0,1.0,2015-08-05,Economy Class
63,2.0,1.0,2015-07-23,Economy Class
17,4.0,9.0,2015-07-23,Economy Class
36,2.0,7.0,2015-07-23,Economy Class
50,3.0,8.0,2015-07-22,Economy Class
14,2.0,2.0,2015-07-22,Economy Class
75,0.0,6.0,2015-07-15,Economy Class
88,2.0,1.0,2015-07-14,Economy Class
85,0.0,3.0,2015-07-14,Economy Class
61,1.0,4.0,2015-07-13,Economy Class
90,2.0,1.0,2015-07-06,Economy Class
88,0.0,2.0,2015-07-04,Economy Class
91,4.0,10.0,2015-07-04,Economy Class
21,2.0,1.0,2015-07-03,Economy Class
92,4.0,9.0,2015-07-03,Economy Class
71,1.0,4.0,2015-06-29,Economy Class
80,1.0,5.0,2015-06-29,Economy Class
5,0.0,2.0,2015-06-29,Economy Class
64,4.0,2.0,2015-06-27,Economy Class
61,3.0,5.0,2015-06-18,Economy Class
22,1.0,2.0,2015-06-13,Economy Class
77,0.0,2.0,2015-06-13,Economy Class
93,1.0,4.0,2015-06-13,Economy Class
94,2.0,1.0,2015-06-06,Economy Class
71,0.0,1.0,2015-06-04,Economy Class
67,3.0,8.0,2015-05-31,Economy Class
8,1.0,2.0,2015-05-31,Economy Class
89,3.0,9.0,2015-05-31,Economy Class
74,1.0,1.0,2015-05-25,Economy Class
4,1.0,5.0,2015-05-18,Economy Class
12,4.0,8.0,2015-05-13,Economy Class
95,2.0,1.0,2015-05-13,Economy Class
30,0.0,1.0,2015-05-08,Economy Class
18,0.0,2.0,2015-05-05,Economy Class
72,1.0,3.0,2015-04-28,Economy Class
28,0.0,2.0,2015-04-17,Economy Class
82,1.0,7.0,2015-04-14,Economy Class
67,0.0,1.0,2015-04-04,Economy Class
43,3.0,6.0,2015-03-23,Economy Class
90,3.0,8.0,2015-03-23,Economy Class
93,0.0,5.0,2015-03-20,Business Class
62,2.0,1.0,2015-03-17,Economy Class
62,0.0,4.0,2015-03-04,Economy Class
84,0.0,3.0,2015-03-04,Economy Class
24,0.0,2.0,2015-02-18,Economy Class
95,4.0,10.0,2015-02-18,Economy Class
18,3.0,10.0,2015-02-06,Economy Class
28,1.0,4.0,2015-01-28,Economy Class
7,2.0,2.0,2015-01-26,Economy Class
30,4.0,6.0,2015-01-23,Economy Class
81,3.0,10.0,2015-01-21,Economy Class
24,4.0,9.0,2015-01-21,Economy Class
41,1.0,5.0,2015-01-14,Economy Class
13,4.0,10.0,2015-01-14,Economy Class
7,4.0,7.0,2015-01-14,Economy Class
51,0.0,2.0,2014-12-31,Economy Class
46,1.0,10.0,2014-12-22,Economy Class
33,4.0,8.0,2014-12-22,Economy Class
46,4.0,9.0,2014-12-10,Economy Class
91,2.0,1.0,2014-11-20,Economy Class
22,3.0,7.0,2014-11-20,Economy Class
14,1.0,7.0,2014-11-12,Economy Class
92,3.0,8.0,2014-11-11,Economy Class
66,1.0,3.0,2014-11-06,Economy Class
12,2.0,1.0,2014-11-06,Economy Class
61,4.0,10.0,2014-11-03,Economy Class
70,1.0,3.0,2014-11-03,Economy Class
42,3.0,6.0,2014-10-31,Economy Class
39,3.0,9.0,2014-10-28,Economy Class
83,3.0,6.0,2014-10-28,Economy Class
53,4.0,9.0,2014-10-28,Economy Class
63,4.0,8.0,2014-10-28,Economy Class
96,1.0,7.0,2014-10-22,Economy Class
19,1.0,2.0,2014-10-05,Economy Class
57,3.0,5.0,2014-10-05,Economy Class
15,4.0,9.0,2014-10-05,Economy Class
37,1.0,2.0,2014-09-28,Economy Class
32,3.0,10.0,2014-09-22,Economy Class
69,1.0,2.0,2014-09-22,Economy Class
14,3.0,8.0,2014-09-22,Economy Class
72,4.0,10.0,2014-09-19,Economy Class
97,4.0,10.0,2014-09-17,Economy Class
46,2.0,1.0,2014-09-17,Economy Class
78,1.0,3.0,2014-09-14,Economy Class
25,1.0,5.0,2014-09-06,Economy Class
98,2.0,2.0,2014-09-06,Economy Class
8,3.0,10.0,2014-09-06,Economy Class
27,3.0,9.0,2014-09-01,Economy Class
86,3.0,7.0,2014-09-01,Economy Class
88,1.0,5.0,2014-09-01,Economy Class
51,3.0,7.0,2014-08-28,Economy Class
60,1.0,5.0,2014-08-20,Economy Class
68,1.0,7.0,2014-08-15,Economy Class
24,2.0,1.0,2014-08-08,Economy Class
70,2.0,1.0,2014-08-08,Economy Class
7,3.0,8.0,2014-08-06,Economy Class
92,0.0,4.0,2014-07-31,Economy Class
87,4.0,5.0,2014-07-31,Economy Class
53,0.0,4.0,2014-07-31,Economy Class
46,3.0,7.0,2014-07-29,Economy Class
73,4.0,10.0,2014-07-29,Economy Class
99,0.0,2.0,2014-07-27,Economy Class
5,4.0,10.0,2014-07-27,Economy Class
90,1.0,3.0,2014-07-17,Economy Class
48,4.0,8.0,2014-07-17,Economy Class
60,4.0,9.0,2014-07-17,Economy Class
54,4.0,7.0,2014-07-17,Economy Class
52,4.0,10.0,2014-07-17,Economy Class
23,3.0,8.0,2014-07-17,Economy Class
32,0.0,1.0,2014-07-17,Economy Class
81,4.0,10.0,2014-07-03,Economy Class
92,1.0,2.0,2014-07-01,Economy Class
65,3.0,9.0,2014-07-01,Economy Class
12,0.0,1.0,2014-06-18,Economy Class
89,1.0,8.0,2014-06-13,Economy Class
27,4.0,9.0,2014-06-10,Economy Class
19,4.0,5.0,2014-06-10,Economy Class
69,0.0,2.0,2014-06-05,Economy Class
10,4.0,10.0,2014-06-05,Economy Class
93,4.0,10.0,2014-06-04,Economy Class
68,4.0,8.0,2014-06-04,Economy Class
44,3.0,8.0,2014-06-03,Economy Class
88,4.0,9.0,2014-05-28,Economy Class
93,2.0,1.0,2014-05-28,Economy Class
82,4.0,10.0,2014-05-27,Economy Class
97,1.0,4.0,2014-05-26,Economy Class
84,1.0,7.0,2014-05-26,Economy Class
97,2.0,2.0,2014-05-25,Economy Class
89,0.0,2.0,2014-05-25,Economy Class
96,2.0,1.0,2014-05-24,Economy Class
58,3.0,5.0,2014-05-21,Economy Class
1,0.0,2.0,2014-05-21,Economy Class
77,2.0,3.0,2014-05-20,Economy Class
42,1.0,6.0,2014-05-18,Economy Class
51,4.0,9.0,2014-05-17,Economy Class
94,1.0,1.0,2014-05-17,Economy Class
52,3.0,2.0,2014-05-17,Economy Class
45,1.0,3.0,2014-05-16,Economy Class
61,2.0,4.0,2014-05-16,Economy Class
90,0.0,3.0,2014-05-12,Economy Class
73,3.0,9.0,2014-05-11,Economy Class
16,3.0,7.0,2014-05-11,Economy Class
39,4.0,10.0,2014-05-11,Economy Class
77,3.0,10.0,2014-05-11,Economy Class
43,4.0,10.0,2014-05-10,Economy Class
22,4.0,8.0,2014-05-10,Economy Class
82,2.0,4.0,2014-05-08,Economy Class
96,3.0,7.0,2014-05-01,Economy Class
34,4.0,9.0,2014-04-30,Economy Class
0,3.0,8.0,2014-04-30,Economy Class
3,3.0,5.0,2014-04-27,Economy Class
48,0.0,2.0,2014-04-25,Economy Class
26,2.0,1.0,2014-04-23,Economy Class
56,3.0,10.0,2014-04-23,Economy Class
10,2.0,1.0,2014-04-23,Economy Class
76,4.0,10.0,2014-04-23,Economy Class
52,1.0,4.0,2014-04-22,Economy Class
40,3.0,9.0,2014-04-22,Economy Class
99,1.0,5.0,2014-04-14,Economy Class
72,3.0,9.0,2014-04-13,Economy Class
85,3.0,5.0,2014-04-08,Economy Class
65,4.0,10.0,2014-04-07,Economy Class
52,0.0,3.0,2014-03-31,Economy Class
21,4.0,8.0,2014-03-31,Economy Class
64,3.0,8.0,2014-03-30,Economy Class
78,2.0,1.0,2014-03-28,Economy Class
12,3.0,7.0,2014-03-26,Economy Class
5,3.0,10.0,2014-03-26,Economy Class
15,3.0,10.0,2014-03-24,Economy Class
14,4.0,6.0,2014-03-14,Economy Class
59,3.0,8.0,2014-03-12,Economy Class
56,4.0,10.0,2014-03-03,Economy Class
91,3.0,2.0,2014-02-27,Economy Class
55,0.0,2.0,2014-02-25,Economy Class
74,4.0,10.0,2014-02-24,Economy Class
59,2.0,1.0,2014-02-19,Economy Class
50,1.0,8.0,2014-02-17,Economy Class
98,4.0,10.0,2014-02-15,Economy Class
32,4.0,10.0,2014-02-13,Economy Class
46,6.0,5.0,2014-02-11,Economy Class
48,2.0,1.0,2014-02-10,Economy Class
4,3.0,9.0,2014-02-10,Economy Class
36,4.0,8.0,2014-02-03,Economy Class
45,4.0,10.0,2014-01-21,Economy Class
54,3.0,9.0,2014-01-20,Economy Class
80,4.0,10.0,2014-01-17,Economy Class
20,3.0,10.0,2014-01-14,Economy Class
69,3.0,9.0,2014-01-13,Economy Class
31,3.0,8.0,2014-01-08,Economy Class
84,4.0,7.0,2014-01-03,Economy Class
55,4.0,10.0,2013-12-29,Economy Class
44,4.0,8.0,2013-12-20,Economy Class
29,4.0,10.0,2013-12-16,Economy Class
1,4.0,10.0,2013-12-16,Economy Class
74,3.0,7.0,2013-12-10,Economy Class
47,4.0,10.0,2013-12-09,Economy Class
95,1.0,2.0,2013-12-09,Economy Class
3,4.0,10.0,2013-12-09,Economy Class
59,4.0,10.0,2013-12-04,Economy Class
94,4.0,10.0,2013-12-02,Economy Class
95,3.0,10.0,2013-11-29,Economy Class
83,0.0,2.0,2013-11-29,Economy Class
76,2.0,1.0,2013-11-28,Economy Class
47,2.0,1.0,2013-11-27,Economy Class
75,4.0,10.0,2013-11-25,Economy Class
77,4.0,9.0,2013-11-21,Economy Class
42,4.0,7.0,2013-11-19,Economy Class
69,4.0,10.0,2013-11-14,Economy Class
83,1.0,5.0,2013-11-14,Economy Class
29,3.0,3.0,2013-11-13,Economy Class
99,4.0,10.0,2013-11-13,Economy Class
20,1.0,1.0,2013-11-06,Economy Class
83,4.0,9.0,2013-11-04,Economy Class
49,4.0,10.0,2013-10-29,Economy Class
80,6.0,2.0,2013-10-29,Economy Class
16,4.0,8.0,2013-10-23,Economy Class
86,4.0,10.0,2013-10-23,Economy Class
97,3.0,6.0,2013-10-22,Economy Class
40,4.0,9.0,2013-10-22,Economy Class
86,1.0,4.0,2013-10-20,Economy Class
57,4.0,10.0,2013-10-18,Economy Class
90,4.0,10.0,2013-10-18,Economy Class
87,3.0,8.0,2013-10-15,Economy Class
99,3.0,3.0,2013-10-15,Economy Class
36,1.0,1.0,2013-10-15,Economy Class
4,4.0,10.0,2013-10-15,Economy Class
79,4.0,10.0,2013-10-15,Economy Class
26,3.0,8.0,2013-10-13,Economy Class
72,0.0,1.0,2013-10-13,Economy Class
89,4.0,10.0,2013-10-13,Economy Class
11,4.0,8.0,2013-10-07,Economy Class
73,1.0,3.0,2013-10-07,Economy Class
28,4.0,10.0,2013-10-07,Economy Class
49,3.0,9.0,2013-10-07,Economy Class
66,3.0,10.0,2013-10-07,Economy Class
2,4.0,10.0,2013-10-03,Economy Class
26,4.0,10.0,2013-10-03,Economy Class
67,4.0,10.0,2013-10-02,Economy Class
85,1.0,4.0,2013-10-01,Economy Class
63,0.0,2.0,2013-10-01,Economy Class
78,4.0,10.0,2013-10-01,Economy Class
11,3.0,2.0,2013-10-01,Economy Class
41,4.0,9.0,2013-10-01,Economy Class
79,1.0,3.0,2013-10-01,Economy Class
6,4.0,10.0,2013-09-29,Economy Class
70,4.0,10.0,2013-09-29,Economy Class
35,4.0,10.0,2013-09-25,Economy Class
23,4.0,10.0,2013-09-24,Economy Class
91,1.0,5.0,2013-09-24,Economy Class
34,0.0,3.0,2013-09-22,Economy Class
76,3.0,8.0,2013-09-22,Economy Class
98,0.0,1.0,2013-09-19,Economy Class
45,3.0,8.0,2013-09-18,Economy Class
87,2.0,2.0,2013-09-18,Economy Class
9,4.0,8.0,2013-09-18,Economy Class
82,0.0,2.0,2013-09-17,Economy Class
29,0.0,2.0,2013-09-17,Economy Class
94,0.0,1.0,2013-09-15,Economy Class
17,2.0,1.0,2013-09-15,Economy Class
35,3.0,8.0,2013-09-15,Economy Class
81,2.0,1.0,2013-09-13,Economy Class
12,6.0,1.0,2013-09-12,Economy Class
21,0.0,3.0,2013-09-12,Economy Class
96,4.0,8.0,2013-09-12,Economy Class
55,3.0,9.0,2013-09-10,Economy Class
21,1.0,3.0,2013-09-10,Economy Class
25,4.0,8.0,2013-09-09,Economy Class
71,4.0,10.0,2013-09-08,Economy Class
37,3.0,5.0,2013-09-08,Economy Class
28,3.0,10.0,2013-09-08,Economy Class
9,3.0,7.0,2013-09-05,Economy Class
93,3.0,1.0,2013-09-04,Economy Class
37,4.0,10.0,2013-09-04,Economy Class
38,0.0,5.0,2013-09-02,Economy Class
30,3.0,10.0,2013-09-02,Economy Class
6,1.0,1.0,2013-09-02,Economy Class
17,3.0,10.0,2013-09-01,Economy Class
48,3.0,8.0,2013-08-29,Economy Class
96,0.0,1.0,2013-08-28,Economy Class
15,0.0,1.0,2012-09-06,Economy Class
91,0.0,2.0,2012-09-06,Economy Class
66,4.0,8.0,2012-09-06,Economy Class
34,3.0,10.0,2012-09-05,Economy Class
33,1.0,2.0,2012-09-03,Economy Class
75,3.0,8.0,2012-09-03,Economy Class
58,1.0,8.0,2012-09-03,Economy Class
27,2.0,1.0,2012-09-03,Economy Class
79,3.0,7.0,2012-09-03,Economy Class
42,2.0,1.0,2012-09-03,Economy Class
51,1.0,6.0,2012-09-03,Economy Class
80,3.0,9.0,2012-09-03,Economy Class
85,4.0,10.0,2012-08-29,Economy Class
86,0.0,2.0,2012-08-29,Economy Class
25,2.0,1.0,2012-08-29,Economy Class
13,2.0,2.0,2012-08-28,Economy Class
99,2.0,1.0,2012-08-28,Economy Class
92,2.0,1.0,2012-08-28,Economy Class
25,0.0,1.0,2012-08-28,Economy Class
8,2.0,2.0,2012-08-23,Economy Class
