user,item,rating,timestamp,feature Str
0,0,4.0,2024-07-21,100
1,0,3.0,2024-07-20,100
2,1,2.0,2024-07-21,9
3,1,3.0,2024-08-19,9
4,2,5.0,2024-01-06,10
5,3,1.0,2024-06-01,118
6,4,4.0,2024-03-06,32
7,4,3.0,2024-04-16,32
8,2,4.0,2024-05-22,10
9,5,4.0,2024-02-27,65
10,3,5.0,2023-11-05,118
11,5,1.0,2024-09-24,65
12,3,5.0,2024-10-04,118
13,6,2.0,2024-01-26,130
14,4,3.0,2024-05-13,32
15,7,5.0,2023-12-03,97
16,8,2.0,2024-09-23,15
17,5,5.0,2023-12-13,65
18,2,5.0,2024-03-26,10
19,5,2.0,2024-08-31,65
20,7,1.0,2024-09-01,97
21,5,4.0,2023-11-30,65
22,2,3.0,2024-06-04,10
23,3,1.0,2024-06-02,118
24,7,3.0,2024-07-23,97
25,2,1.0,2024-10-31,10
26,8,5.0,2024-06-08,15
27,0,5.0,2024-02-28,100
28,7,4.0,2023-11-29,97
29,5,1.0,2024-01-16,65
30,2,5.0,2023-12-13,10
31,1,4.0,2024-07-14,9
32,4,5.0,2024-02-26,32
33,5,2.0,2024-02-16,65
34,5,4.0,2024-07-09,65
35,2,5.0,2024-10-12,10
36,4,5.0,2024-03-09,32
37,1,4.0,2024-01-12,9
38,4,5.0,2024-05-30,32
39,1,2.0,2024-06-10,9
40,2,4.0,2024-01-14,10
41,2,3.0,2024-05-10,10
42,5,2.0,2024-04-21,65
43,5,4.0,2024-04-17,65
44,5,1.0,2024-07-11,65
45,5,3.0,2024-08-28,65
46,1,4.0,2024-07-18,9
47,5,5.0,2024-07-22,65
48,6,3.0,2024-05-12,130
49,7,2.0,2024-02-18,97
50,8,5.0,2024-06-23,15
51,2,4.0,2024-04-20,10
52,5,4.0,2024-06-09,65
53,9,5.0,2024-05-29,45
54,9,4.0,2024-02-26,45
55,7,4.0,2024-04-02,97
56,2,3.0,2023-12-19,10
57,0,1.0,2024-02-15,100
58,6,2.0,2024-01-20,130
59,10,5.0,2024-09-26,50
60,5,4.0,2024-08-25,65
61,5,4.0,2024-10-20,65
62,5,5.0,2024-03-06,65
63,1,5.0,2024-04-16,9
64,2,1.0,2024-04-05,10
65,11,5.0,2024-04-21,20
66,8,1.0,2024-09-20,15
67,10,5.0,2024-02-29,50
68,8,4.0,2024-02-05,15
69,5,1.0,2024-03-02,65
70,0,4.0,2024-10-03,100
71,0,3.0,2024-04-08,100
72,8,4.0,2024-04-22,15
73,6,1.0,2023-11-13,130
74,0,5.0,2024-07-13,100
75,9,1.0,2023-12-11,45
76,2,4.0,2024-01-31,10
77,1,4.0,2024-02-03,9
78,5,4.0,2024-01-26,65
79,5,5.0,2024-09-21,65
80,1,1.0,2024-02-09,9
81,7,2.0,2024-01-20,97
82,7,3.0,2024-03-30,97
83,3,5.0,2024-11-03,118
84,6,4.0,2024-09-24,130
85,3,4.0,2023-12-02,118
86,8,3.0,2023-11-16,15
87,5,3.0,2024-08-03,65
88,8,4.0,2023-11-12,15
89,8,4.0,2024-04-10,15
90,8,5.0,2024-02-05,15
91,8,5.0,2024-07-24,15
92,8,4.0,2023-12-11,15
93,3,4.0,2024-02-26,118
94,7,1.0,2024-05-13,97
95,6,1.0,2024-05-22,130
96,7,4.0,2024-01-22,97
97,1,5.0,2024-06-12,9
98,3,3.0,2023-12-14,118
99,2,3.0,2024-03-20,10
100,8,3.0,2023-12-10,15
101,8,4.0,2023-11-21,15
102,8,3.0,2024-10-20,15
103,6,1.0,2024-05-08,130
104,11,4.0,2024-03-14,20
105,5,5.0,2024-07-28,65
106,8,4.0,2024-03-24,15
107,2,5.0,2024-07-18,10
108,8,4.0,2023-11-20,15
109,8,5.0,2024-09-29,15
110,9,2.0,2024-01-05,45
111,4,5.0,2024-06-27,32
112,12,4.0,2023-12-22,23
113,5,4.0,2024-01-10,65
114,7,5.0,2024-10-24,97
115,9,1.0,2023-11-13,45
116,1,3.0,2024-03-08,9
117,3,1.0,2023-11-24,118
118,12,3.0,2024-06-13,23
119,8,5.0,2024-07-31,15
120,1,5.0,2024-08-12,9
121,6,3.0,2024-10-28,130
122,6,4.0,2024-03-22,130
123,11,4.0,2024-06-01,20
124,7,4.0,2024-09-25,97
125,9,4.0,2024-02-23,45
126,12,5.0,2024-02-01,23
127,2,5.0,2023-11-24,10
128,1,5.0,2023-11-14,9
129,5,2.0,2024-09-24,65
130,0,4.0,2024-05-28,100
131,10,5.0,2024-10-30,50
132,1,4.0,2024-09-22,9
133,5,4.0,2024-04-03,65
134,0,3.0,2024-08-31,100
135,2,5.0,2024-08-30,10
136,1,4.0,2024-04-04,9
137,7,3.0,2023-11-13,97
138,2,3.0,2024-10-07,10
139,5,2.0,2024-01-16,65
140,2,2.0,2024-09-17,10
141,4,5.0,2024-02-08,32
142,2,4.0,2024-08-28,10
143,4,5.0,2023-11-18,32
144,1,5.0,2024-02-04,9
145,8,5.0,2024-02-27,15
146,8,1.0,2024-09-12,15
147,7,3.0,2023-12-12,97
148,11,2.0,2023-11-12,20
149,5,5.0,2023-12-20,65
150,3,4.0,2024-02-02,118
151,5,4.0,2024-08-19,65
152,8,5.0,2024-05-02,15
153,4,5.0,2024-01-06,32
154,10,1.0,2024-02-25,50
155,6,4.0,2024-01-04,130
156,2,3.0,2023-11-10,10
157,12,4.0,2023-12-18,23
158,9,4.0,2024-05-14,45
159,5,4.0,2024-08-25,65
160,8,5.0,2024-05-10,15
161,11,2.0,2024-07-25,20
162,1,5.0,2023-11-19,9
163,1,3.0,2024-06-08,9
164,5,5.0,2024-02-08,65
165,1,5.0,2024-03-24,9
166,0,5.0,2024-08-01,100
167,5,5.0,2024-04-05,65
168,0,4.0,2024-05-25,100
169,8,5.0,2024-03-19,15
170,10,4.0,2024-05-01,50
171,8,3.0,2023-11-30,15
172,5,4.0,2024-04-29,65
173,5,5.0,2024-05-16,65
174,7,5.0,2023-12-26,97
175,9,2.0,2024-05-20,45
176,5,5.0,2024-02-24,65
177,8,4.0,2024-10-23,15
178,0,3.0,2024-01-20,100
179,2,4.0,2024-07-05,10
180,8,4.0,2024-06-25,15
181,3,5.0,2024-03-15,118
182,8,2.0,2024-05-01,15
183,5,4.0,2024-09-02,65
184,11,4.0,2024-03-30,20
185,7,5.0,2024-03-27,97
186,9,3.0,2024-08-20,45
187,8,3.0,2023-12-19,15
188,8,2.0,2024-05-31,15
189,4,3.0,2024-01-25,32
190,9,5.0,2023-11-22,45
191,5,3.0,2024-06-26,65
192,10,5.0,2024-04-18,50
193,2,4.0,2024-05-05,10
194,8,1.0,2024-04-28,15
195,8,5.0,2024-10-16,15
196,11,4.0,2024-08-09,20
197,6,4.0,2024-03-28,130
198,5,4.0,2024-06-21,65
199,0,5.0,2024-05-25,100
200,7,3.0,2023-11-20,97
201,5,4.0,2023-12-29,65
202,2,5.0,2024-05-30,10
203,5,1.0,2024-04-01,65
204,0,3.0,2023-12-06,100
205,6,2.0,2024-06-26,130
206,7,3.0,2024-02-07,97
207,5,4.0,2024-05-01,65
208,2,4.0,2024-07-28,10
209,4,5.0,2024-02-25,32
210,5,4.0,2024-07-20,65
211,5,4.0,2024-09-06,65
212,5,3.0,2024-06-14,65
213,8,5.0,2024-03-29,15
214,9,5.0,2024-05-04,45
215,10,5.0,2024-09-09,50
216,8,5.0,2024-05-30,15
217,0,5.0,2024-07-13,100
218,2,5.0,2024-05-30,10
219,5,5.0,2024-04-22,65
220,1,2.0,2023-12-06,9
221,0,4.0,2024-05-16,100
222,11,3.0,2024-04-19,20
223,0,4.0,2024-05-04,100
224,1,5.0,2024-09-10,9
225,0,1.0,2024-04-12,100
226,4,4.0,2024-09-18,32
227,1,4.0,2024-08-09,9
228,1,5.0,2024-08-31,9
229,8,5.0,2023-11-29,15
230,7,1.0,2024-03-05,97
231,12,1.0,2024-02-26,23
232,2,5.0,2024-01-27,10
233,0,4.0,2024-03-25,100
234,0,4.0,2024-02-03,100
235,5,4.0,2024-05-30,65
236,3,4.0,2024-02-08,118
237,2,3.0,2023-12-18,10
238,7,5.0,2023-12-17,97
239,4,2.0,2024-09-08,32
240,5,5.0,2024-06-16,65
241,8,2.0,2024-10-05,15
242,8,4.0,2024-08-20,15
243,3,1.0,2024-02-13,118
244,11,5.0,2023-11-05,20
245,10,5.0,2024-06-10,50
246,5,1.0,2024-07-04,65
247,8,5.0,2024-02-22,15
248,5,5.0,2024-03-15,65
249,5,5.0,2024-01-04,65
250,5,1.0,2024-10-29,65
251,7,3.0,2024-08-01,97
252,5,5.0,2023-12-21,65
253,3,5.0,2024-05-26,118
254,7,1.0,2024-09-26,97
255,11,4.0,2023-12-06,20
256,6,5.0,2024-06-14,130
257,5,5.0,2024-10-24,65
258,3,3.0,2024-03-26,118
259,5,4.0,2023-12-07,65
260,6,3.0,2024-07-15,130
261,5,3.0,2024-01-07,65
262,8,3.0,2023-12-09,15
263,1,5.0,2024-09-16,9
264,1,2.0,2024-05-08,9
265,5,4.0,2024-05-09,65
266,11,5.0,2024-10-11,20
267,2,5.0,2024-02-25,10
268,0,4.0,2024-07-08,100
269,9,5.0,2024-02-21,45
270,0,1.0,2023-12-08,100
271,1,4.0,2023-11-07,9
272,5,1.0,2023-11-06,65
273,2,5.0,2024-01-15,10
274,5,4.0,2023-12-20,65
275,8,4.0,2024-03-14,15
276,6,5.0,2024-05-05,130
277,1,1.0,2024-04-08,9
278,5,3.0,2024-07-01,65
279,5,4.0,2024-05-26,65
280,11,4.0,2024-03-17,20
281,6,3.0,2024-05-30,130
282,2,1.0,2024-03-26,10
283,7,5.0,2024-06-06,97
284,0,5.0,2024-05-20,100
285,6,1.0,2024-05-04,130
286,8,4.0,2024-02-25,15
287,7,2.0,2024-10-23,97
288,7,5.0,2024-09-25,97
289,8,4.0,2024-03-25,15
290,8,1.0,2024-03-20,15
291,2,1.0,2024-09-21,10
292,8,5.0,2023-11-10,15
293,0,3.0,2024-04-01,100
294,12,5.0,2024-07-28,23
295,5,2.0,2023-12-06,65
296,3,4.0,2024-10-18,118
297,1,4.0,2024-01-08,9
298,5,5.0,2024-07-09,65
299,0,5.0,2023-12-30,100
300,1,3.0,2024-07-22,9
301,2,3.0,2024-10-20,10
302,0,3.0,2024-05-14,100
303,7,5.0,2024-10-15,97
304,9,5.0,2024-03-12,45
305,4,4.0,2023-11-10,32
306,7,1.0,2024-01-08,97
307,5,1.0,2024-08-17,65
308,12,4.0,2024-08-30,23
309,5,5.0,2024-02-09,65
310,0,2.0,2024-01-24,100
311,1,3.0,2024-01-26,9
312,0,2.0,2023-12-06,100
313,3,5.0,2024-03-15,118
314,3,5.0,2024-02-05,118
315,8,4.0,2024-03-07,15
316,4,4.0,2024-06-21,32
317,7,1.0,2024-02-24,97
318,3,3.0,2024-05-30,118
319,2,4.0,2024-04-29,10
320,0,3.0,2024-09-02,100
321,5,1.0,2024-08-23,65
322,2,2.0,2024-08-31,10
323,2,4.0,2024-07-07,10
324,1,5.0,2024-01-20,9
325,5,1.0,2024-07-25,65
326,7,5.0,2024-07-28,97
327,0,1.0,2024-09-12,100
328,8,3.0,2024-03-25,15
329,8,3.0,2024-08-12,15
330,11,1.0,2024-09-23,20
331,6,3.0,2024-06-05,130
332,8,5.0,2024-07-19,15
333,12,2.0,2024-08-23,23
334,3,1.0,2024-02-18,118
335,5,2.0,2023-12-02,65
336,8,5.0,2024-01-09,15
337,7,3.0,2024-05-29,97
338,4,3.0,2024-05-05,32
339,5,3.0,2023-11-13,65
340,1,4.0,2024-06-16,9
341,5,5.0,2024-02-04,65
342,11,5.0,2023-11-19,20
343,5,4.0,2024-08-29,65
344,2,2.0,2024-08-06,10
345,11,2.0,2024-04-10,20
346,5,4.0,2024-06-01,65
347,9,3.0,2024-03-08,45
348,5,4.0,2024-03-09,65
349,5,5.0,2024-01-23,65
350,7,4.0,2024-01-12,97
351,11,5.0,2024-01-29,20
352,3,5.0,2024-03-11,118
353,3,1.0,2024-05-10,118
354,4,3.0,2024-02-21,32
355,0,5.0,2024-01-14,100
356,4,4.0,2024-02-21,32
357,5,4.0,2024-03-26,65
358,0,5.0,2024-09-02,100
359,8,4.0,2024-10-16,15
360,0,5.0,2024-09-05,100
361,0,5.0,2024-07-15,100
362,0,2.0,2024-03-09,100
363,7,5.0,2024-06-02,97
364,11,4.0,2024-09-27,20
365,3,4.0,2024-02-15,118
366,1,2.0,2024-04-10,9
367,1,4.0,2024-03-12,9
368,8,2.0,2024-07-07,15
369,9,4.0,2024-04-27,45
370,0,5.0,2024-10-14,100
371,7,3.0,2024-08-24,97
372,7,5.0,2024-04-11,97
373,5,5.0,2024-05-29,65
374,2,5.0,2024-05-29,10
375,5,4.0,2024-05-13,65
376,2,1.0,2024-08-25,10
377,8,4.0,2024-03-21,15
378,11,4.0,2024-04-21,20
379,8,3.0,2024-04-25,15
380,5,4.0,2023-11-17,65
381,5,4.0,2023-11-27,65
382,8,5.0,2024-10-19,15
383,9,5.0,2024-08-19,45
384,10,5.0,2024-06-24,50
385,5,2.0,2024-05-08,65
386,6,4.0,2024-01-06,130
387,4,5.0,2024-05-25,32
388,6,5.0,2024-05-30,130
389,0,3.0,2024-10-05,100
390,1,4.0,2023-11-10,9
391,8,4.0,2024-05-24,15
392,4,4.0,2024-02-04,32
393,5,4.0,2024-02-26,65
394,5,2.0,2024-04-07,65
395,6,3.0,2024-01-07,130
396,9,1.0,2023-11-26,45
397,5,3.0,2024-04-05,65
398,6,3.0,2024-01-12,130
399,5,1.0,2024-02-02,65
400,2,2.0,2024-09-06,10
401,4,4.0,2024-07-02,32
402,7,2.0,2024-04-21,97
403,4,5.0,2023-12-19,32
404,5,1.0,2024-01-25,65
405,8,4.0,2024-05-16,15
406,9,4.0,2024-04-15,45
407,8,4.0,2024-06-19,15
408,10,3.0,2023-12-19,50
409,5,3.0,2024-05-11,65
410,3,5.0,2024-02-21,118
411,6,5.0,2024-01-29,130
412,9,5.0,2024-01-06,45
413,3,1.0,2024-05-22,118
414,5,4.0,2024-06-06,65
415,5,5.0,2024-04-13,65
416,1,5.0,2024-09-10,9
417,2,1.0,2023-12-12,10
418,1,5.0,2024-10-23,9
419,2,4.0,2024-02-29,10
420,7,5.0,2024-03-20,97
421,3,4.0,2024-08-11,118
422,0,3.0,2024-08-21,100
423,5,5.0,2023-12-24,65
424,1,5.0,2024-06-04,9
425,1,3.0,2024-02-20,9
426,7,1.0,2024-04-16,97
427,11,4.0,2024-02-22,20
428,8,2.0,2024-02-06,15
429,7,4.0,2024-08-22,97
430,9,3.0,2024-06-30,45
431,1,5.0,2024-03-27,9
432,5,3.0,2024-02-13,65
433,3,3.0,2024-01-27,118
434,3,3.0,2024-06-28,118
435,5,4.0,2024-04-19,65
436,6,5.0,2024-07-12,130
437,4,5.0,2024-08-07,32
438,9,1.0,2023-11-16,45
439,5,4.0,2024-06-10,65
440,1,4.0,2023-12-06,9
441,3,5.0,2024-08-18,118
442,5,1.0,2024-10-14,65
443,0,5.0,2023-12-11,100
444,2,2.0,2024-07-31,10
445,0,3.0,2024-04-23,100
446,9,2.0,2024-05-17,45
447,5,1.0,2023-11-26,65
448,11,2.0,2023-12-03,20
449,8,2.0,2024-01-27,15
450,0,1.0,2023-12-22,100
451,0,3.0,2024-01-05,100
452,8,4.0,2024-01-18,15
453,0,1.0,2024-09-30,100
454,10,4.0,2024-03-04,50
455,7,4.0,2024-04-06,97
456,2,4.0,2024-03-31,10
457,8,3.0,2023-12-28,15
458,5,5.0,2024-01-04,65
459,7,2.0,2024-09-14,97
460,0,5.0,2024-04-16,100
461,0,5.0,2023-12-08,100
462,3,5.0,2024-04-11,118
463,1,2.0,2024-07-07,9
464,5,4.0,2024-06-06,65
465,7,4.0,2024-09-15,97
466,4,5.0,2023-12-15,32
467,11,2.0,2024-01-12,20
468,2,3.0,2024-01-11,10
469,8,1.0,2023-12-25,15
470,5,4.0,2024-04-04,65
471,11,5.0,2023-12-21,20
472,6,4.0,2024-08-24,130
473,6,4.0,2024-06-29,130
474,8,5.0,2024-10-07,15
475,1,2.0,2024-07-12,9
476,4,5.0,2024-03-08,32
477,5,1.0,2024-06-09,65
478,9,3.0,2024-10-29,45
479,2,4.0,2024-10-18,10
480,3,3.0,2024-08-03,118
481,5,5.0,2024-10-16,65
482,7,3.0,2024-05-30,97
483,2,3.0,2024-03-10,10
484,11,3.0,2024-01-24,20
