user,item,rating,timestamp,feature Str,feature_second
0,0,2.0,2023-02-27,Paula's Choice,52.0
1,0,5.0,2023-02-04,Paula's Choice,52.0
2,0,4.0,2022-12-05,Paula's Choice,52.0
3,0,5.0,2022-12-05,Paula's Choice,52.0
4,0,5.0,2022-12-05,Paula's Choice,52.0
5,0,4.0,2022-12-05,Paula's Choice,52.0
6,0,5.0,2022-12-05,Paula's Choice,52.0
7,0,5.0,2022-12-05,Paula's Choice,52.0
8,0,4.0,2022-12-05,Paula's Choice,52.0
9,0,5.0,2022-12-04,Paula's Choice,52.0
10,0,5.0,2022-12-04,Paula's Choice,52.0
11,0,5.0,2022-12-04,Paula's Choice,52.0
12,0,5.0,2022-12-04,Paula's Choice,52.0
13,0,5.0,2022-12-04,Paula's Choice,52.0
14,0,5.0,2022-12-04,Paula's Choice,52.0
15,0,5.0,2022-12-04,Paula's Choice,52.0
16,0,5.0,2022-12-03,Paula's Choice,52.0
17,0,5.0,2022-12-03,Paula's Choice,52.0
18,0,5.0,2022-12-02,Paula's Choice,52.0
19,0,5.0,2022-12-02,Paula's Choice,52.0
20,0,5.0,2022-11-30,Paula's Choice,52.0
21,0,5.0,2022-11-30,Paula's Choice,52.0
22,0,5.0,2022-11-29,Paula's Choice,52.0
23,0,5.0,2022-11-29,Paula's Choice,52.0
24,0,5.0,2022-11-29,Paula's Choice,52.0
25,0,5.0,2022-11-29,Paula's Choice,52.0
26,0,5.0,2022-11-29,Paula's Choice,52.0
27,0,5.0,2022-11-29,Paula's Choice,52.0
28,0,5.0,2022-11-28,Paula's Choice,52.0
29,0,5.0,2022-11-28,Paula's Choice,52.0
30,0,5.0,2022-11-28,Paula's Choice,52.0
31,0,5.0,2022-11-28,Paula's Choice,52.0
32,0,5.0,2022-11-28,Paula's Choice,52.0
33,0,4.0,2022-11-28,Paula's Choice,52.0
34,0,5.0,2022-11-28,Paula's Choice,52.0
35,0,4.0,2022-11-28,Paula's Choice,52.0
36,0,4.0,2022-11-27,Paula's Choice,52.0
37,0,5.0,2022-11-27,Paula's Choice,52.0
38,0,5.0,2022-11-27,Paula's Choice,52.0
39,0,5.0,2022-11-26,Paula's Choice,52.0
40,0,5.0,2022-11-26,Paula's Choice,52.0
41,0,5.0,2022-11-25,Paula's Choice,52.0
42,0,4.0,2022-11-24,Paula's Choice,52.0
43,0,5.0,2022-11-23,Paula's Choice,52.0
44,0,5.0,2022-11-23,Paula's Choice,52.0
45,0,5.0,2022-11-23,Paula's Choice,52.0
46,0,5.0,2022-11-22,Paula's Choice,52.0
47,0,5.0,2022-11-22,Paula's Choice,52.0
48,0,5.0,2022-11-22,Paula's Choice,52.0
