user,item,rating,timestamp
0,0,5.0,"Reviewed Sept. 13, 2023"
1,1,5.0,"Reviewed July 16, 2023"
2,2,5.0,"Reviewed July 5, 2023"
3,3,5.0,"Reviewed May 26, 2023"
4,4,5.0,"Reviewed Jan. 22, 2023"
5,5,1.0,"Reviewed Sept. 14, 2023"
6,6,1.0,"Reviewed Sept. 8, 2023"
7,7,1.0,"Reviewed Aug. 25, 2023"
8,8,1.0,"Reviewed Aug. 5, 2023"
9,9,1.0,"Reviewed Aug. 4, 2023"
10,10,1.0,"Reviewed July 27, 2023"
11,11,2.0,"Reviewed July 21, 2023"
12,12,1.0,"Reviewed July 21, 2023"
13,13,1.0,"Reviewed July 16, 2023"
14,14,1.0,"Reviewed July 6, 2023"
15,15,1.0,"Reviewed July 6, 2023"
16,16,1.0,"Reviewed June 28, 2023"
17,17,1.0,"Reviewed June 11, 2023"
18,18,1.0,"Reviewed June 3, 2023"
19,19,1.0,"Reviewed May 30, 2023"
20,20,1.0,"Reviewed May 22, 2023"
11,21,1.0,"Reviewed May 15, 2023"
21,22,1.0,"Reviewed May 11, 2023"
22,23,1.0,"Reviewed April 30, 2023"
23,24,1.0,"Reviewed April 28, 2023"
24,25,1.0,"Reviewed April 20, 2023"
25,26,1.0,"Reviewed March 30, 2023"
26,27,1.0,"Reviewed March 29, 2023"
27,28,1.0,"Reviewed March 10, 2023"
28,29,1.0,"Reviewed March 3, 2023"
29,30,1.0,"Reviewed Feb. 22, 2023"
30,31,1.0,"Reviewed Feb. 19, 2023"
31,32,3.0,"Reviewed Feb. 9, 2023"
32,33,1.0,"Reviewed Feb. 5, 2023"
33,34,1.0,"Reviewed Feb. 4, 2023"
34,35,2.0,"Reviewed Feb. 1, 2023"
35,36,2.0,"Reviewed Feb. 1, 2023"
36,37,1.0,"Reviewed Jan. 30, 2023"
37,38,2.0,"Reviewed Jan. 1, 2023"
38,39,1.0,"Reviewed Dec. 29, 2022"
39,40,1.0,"Reviewed Dec. 13, 2022"
40,41,1.0,"Reviewed Nov. 29, 2022"
41,42,1.0,"Reviewed Nov. 29, 2022"
42,43,1.0,"Reviewed Nov. 17, 2022"
43,44,1.0,"Reviewed Nov. 17, 2022"
44,45,1.0,"Reviewed Nov. 11, 2022"
45,46,1.0,"Reviewed Nov. 10, 2022"
46,47,1.0,"Reviewed Nov. 6, 2022"
47,48,2.0,"Reviewed Nov. 6, 2022"
48,49,1.0,"Reviewed Oct. 29, 2022"
49,50,1.0,"Reviewed Oct. 26, 2022"
50,51,2.0,"Reviewed Oct. 21, 2022"
51,52,1.0,"Reviewed Oct. 13, 2022"
52,53,1.0,"Reviewed Oct. 10, 2022"
53,54,1.0,"Reviewed Oct. 8, 2022"
54,55,1.0,"Reviewed Oct. 8, 2022"
55,56,1.0,"Reviewed Sept. 29, 2022"
56,57,1.0,"Reviewed Sept. 23, 2022"
25,58,3.0,"Reviewed Sept. 23, 2022"
57,59,1.0,"Reviewed Aug. 27, 2022"
58,60,1.0,"Reviewed Aug. 7, 2022"
59,61,1.0,"Reviewed Aug. 1, 2022"
60,62,2.0,"Reviewed July 18, 2022"
61,63,5.0,"Reviewed July 16, 2022"
62,64,3.0,"Reviewed July 13, 2022"
63,65,1.0,"Reviewed July 9, 2022"
64,66,2.0,"Reviewed June 27, 2022"
65,67,1.0,"Reviewed June 25, 2022"
66,68,1.0,"Reviewed June 17, 2022"
67,51,1.0,"Reviewed June 15, 2022"
68,3,1.0,"Reviewed June 13, 2022"
69,69,4.0,"Reviewed May 31, 2022"
70,70,1.0,"Reviewed May 31, 2022"
35,71,5.0,"Reviewed May 30, 2022"
71,72,1.0,"Reviewed May 24, 2022"
72,73,1.0,"Reviewed May 3, 2022"
39,74,1.0,"Reviewed April 15, 2022"
73,75,5.0,"Reviewed April 6, 2022"
74,76,5.0,"Reviewed April 5, 2022"
75,77,1.0,"Reviewed April 5, 2022"
76,78,1.0,"Reviewed March 1, 2022"
77,79,1.0,"Reviewed Feb. 23, 2022"
78,80,1.0,"Reviewed Feb. 12, 2022"
79,81,2.0,"Reviewed Feb. 8, 2022"
80,82,1.0,"Reviewed Feb. 5, 2022"
12,83,5.0,"Reviewed Feb. 3, 2022"
