user,item,rating,timestamp,feature Str,feature_second Str,feature_third Str
0,0,76.28,2006.0,Wii,Sports,Nintendo
1,1,91.0,1985.0,NES,Platform,Nintendo
2,2,82.07,2008.0,Wii,Racing,Nintendo
3,3,82.65,2009.0,Wii,Sports,Nintendo
4,4,88.0,1989.0,GB,Puzzle,Nintendo
5,5,90.0,2006.0,DS,Platform,Nintendo
6,6,61.64,2006.0,Wii,Misc,Nintendo
7,7,84.0,1984.0,NES,Shooter,Nintendo
8,8,88.18,2009.0,Wii,Platform,Nintendo
9,9,85.0,2005.0,DS,Simulation,Nintendo
10,10,89.0,1999.0,GB,Role-Playing,Nintendo
11,11,81.2,2007.0,Wii,Sports,Nintendo
12,12,91.34,2005.0,DS,Racing,Nintendo
13,13,80.83,2009.0,Wii,Sports,Nintendo
14,14,95.08,2004.0,PS2,Action,Take-Two Interactive
15,15,94.0,1990.0,SNES,Platform,Nintendo
16,16,78.05,2005.0,DS,Misc,Nintendo
17,17,65.39,2010.0,X360,Misc,Microsoft Game Studios
18,18,82.0,1989.0,GB,Platform,Nintendo
19,19,90.0,2006.0,DS,Role-Playing,Nintendo
20,20,93.0,1988.0,NES,Platform,Nintendo
21,21,94.43,2002.0,PS2,Action,Take-Two Interactive
22,22,86.0,2002.0,GBA,Role-Playing,Nintendo
23,23,79.61,2005.0,DS,Misc,Nintendo
24,24,94.47,2001.0,PS2,Racing,Sony Computer Entertainment
25,25,88.49,2011.0,X360,Shooter,Activision
26,26,88.0,1998.0,GB,Role-Playing,Nintendo
27,27,85.88,2010.0,DS,Role-Playing,Nintendo
28,28,87.56,2010.0,X360,Shooter,Activision
29,29,91.0,2001.0,PS2,Action,Take-Two Interactive
30,30,93.57,2009.0,X360,Shooter,Activision
31,25,88.1,2011.0,PS3,Shooter,Activision
32,31,93.0,1996.0,N64,Platform,Nintendo
33,28,88.36,2010.0,PS3,Shooter,Activision
34,32,87.56,2012.0,X360,Shooter,Activision
35,33,86.27,2005.0,DS,Simulation,Nintendo
36,34,93.53,2007.0,X360,Shooter,Microsoft Game Studios
37,35,93.0,2008.0,Wii,Fighting,Nintendo
38,36,87.81,2009.0,DS,Role-Playing,Nintendo
39,37,89.41,2004.0,PS2,Racing,Sony Computer Entertainment
40,38,89.8,2000.0,PC,Simulation,Electronic Arts
41,39,85.0,1992.0,GB,Platform,Nintendo
42,40,88.0,1997.0,PS,Racing,Sony Computer Entertainment
43,41,92.0,2007.0,Wii,Platform,Nintendo
44,42,93.0,1993.0,SNES,Platform,Nintendo
45,43,87.0,2004.0,GBA,Role-Playing,Nintendo
46,44,91.0,2008.0,X360,Action,Take-Two Interactive
47,30,93.42,2009.0,PS3,Shooter,Activision
48,45,88.0,2004.0,DS,Platform,Nintendo
49,46,87.01,1996.0,N64,Racing,Nintendo
50,32,82.57,2012.0,PS3,Shooter,Activision
51,47,79.0,2011.0,Wii,Misc,Ubisoft
52,48,92.1,1997.0,PS,Role-Playing,Sony Computer Entertainment
53,44,91.0,2008.0,PS3,Action,Take-Two Interactive
54,49,91.79,2010.0,X360,Shooter,Microsoft Game Studios
55,50,78.0,2010.0,Wii,Misc,Ubisoft
56,51,92.42,1999.0,PS,Racing,Sony Computer Entertainment
57,52,90.0,1994.0,SNES,Platform,Nintendo
58,53,94.16,2007.0,X360,Shooter,Activision
59,54,84.33,2010.0,PS3,Racing,Sony Computer Entertainment
60,55,90.0,1992.0,SNES,Racing,Nintendo
61,56,72.17,2007.0,DS,Misc,Nintendo
62,57,94.57,2004.0,XB,Shooter,Microsoft Game Studios
63,58,88.0,2011.0,3DS,Platform,Nintendo
64,59,70.44,2010.0,Wii,Misc,Nintendo
65,60,94.59,1997.0,N64,Shooter,Nintendo
66,61,91.73,2001.0,PS2,Role-Playing,Sony Computer Entertainment
67,62,84.0,1994.0,PC,Adventure,Red Orb
68,63,87.48,2012.0,X360,Shooter,Microsoft Game Studios
69,64,63.04,2007.0,Wii,Misc,Nintendo
70,65,74.0,2007.0,Wii,Sports,Nintendo
71,66,89.17,1999.0,PS,Role-Playing,Square
72,67,85.17,2011.0,3DS,Racing,Nintendo
73,68,97.0,1998.0,N64,Adventure,Nintendo
74,69,89.0,2008.0,DS,Role-Playing,Nintendo
75,70,87.54,2005.0,PSP,Action,Take-Two Interactive
76,71,82.0,1988.0,NES,Platform,Nintendo
77,72,85.0,2003.0,PS2,Racing,Electronic Arts
78,73,96.3,1998.0,PS,Fighting,Sony Computer Entertainment
79,74,93.0,2011.0,X360,Role-Playing,Bethesda Softworks
80,75,93.0,2001.0,GC,Fighting,Nintendo
81,76,90.0,2010.0,Wii,Platform,Nintendo
82,77,68.0,2009.0,Wii,Misc,Ubisoft
83,78,86.0,2003.0,GC,Racing,Nintendo
