user,item,rating,timestamp,feature Str,feature_second,feature_third,feature_forth,feature_fifth
0,0,36.4,2015,All Ages,41.41,PC,Medium,Average
1,1,38.3,2015,Adults,57.56,PC,Low,Poor
2,2,26.8,2012,Teens,44.93,PC,Low,Good
3,3,38.4,2015,All Ages,48.29,Mobile,Medium,Good
4,4,30.1,2022,Adults,55.49,PlayStation,High,Poor
5,0,38.6,2017,Adults,51.73,Xbox,Low,Average
6,5,33.1,2020,Adults,46.44,Mobile,High,Excellent
7,6,32.3,2012,Teens,36.92,Nintendo Switch,Ultra,Poor
8,5,26.7,2010,All Ages,22.2,Nintendo Switch,Low,Average
9,7,23.9,2013,Kids,20.09,PC,Low,Good
10,8,29.3,2017,Adults,27.76,Mobile,Medium,Excellent
11,9,37.4,2010,All Ages,58.01,PlayStation,Medium,Average
12,9,28.2,2018,Kids,42.13,PC,Ultra,Average
13,10,43.0,2011,Teens,50.53,Nintendo Switch,Low,Poor
14,1,17.6,2015,Teens,21.71,PC,Medium,Average
15,11,28.6,2012,Kids,52.91,PlayStation,Low,Poor
16,12,32.4,2014,All Ages,32.8,PC,Ultra,Poor
17,13,18.7,2015,Teens,20.81,Mobile,Low,Good
18,10,29.7,2011,Teens,40.94,Mobile,Medium,Average
19,14,36.5,2016,Kids,48.29,Mobile,Medium,Excellent
20,8,30.7,2016,All Ages,45.94,PC,Medium,Good
21,15,26.3,2023,All Ages,32.3,PC,Ultra,Poor
22,16,31.4,2013,Adults,29.05,PlayStation,Medium,Excellent
23,17,26.8,2022,Teens,38.03,PC,Medium,Average
24,18,26.2,2016,All Ages,23.59,Xbox,Low,Good
25,19,27.7,2012,Teens,49.11,Xbox,High,Poor
26,20,35.8,2018,Kids,39.41,Nintendo Switch,High,Excellent
27,21,37.3,2016,All Ages,42.53,PC,Medium,Good
28,17,43.1,2015,Adults,52.81,PC,Ultra,Poor
29,22,31.8,2014,All Ages,54.21,PlayStation,Ultra,Average
30,21,35.3,2023,Kids,43.23,Nintendo Switch,Low,Good
31,9,31.6,2021,All Ages,45.25,Mobile,High,Poor
32,23,32.7,2021,Kids,32.73,Nintendo Switch,High,Average
33,24,29.5,2012,All Ages,53.12,PC,Low,Good
34,21,28.7,2017,Kids,27.34,Nintendo Switch,Low,Poor
35,5,30.2,2020,All Ages,45.46,PlayStation,Low,Poor
36,22,33.0,2017,All Ages,57.97,PlayStation,High,Average
37,8,36.4,2013,Adults,35.69,PlayStation,Ultra,Average
38,12,22.3,2015,Kids,22.57,Mobile,Ultra,Excellent
39,25,18.9,2015,Teens,24.99,Mobile,High,Good
40,15,31.1,2015,Adults,39.4,Nintendo Switch,Medium,Average
41,26,34.1,2017,Adults,47.59,PC,High,Poor
42,4,28.7,2023,Teens,25.85,Xbox,High,Good
43,15,33.5,2013,Adults,51.48,Xbox,High,Poor
44,11,32.5,2023,Adults,34.34,PlayStation,Low,Average
45,16,39.8,2014,All Ages,53.29,Mobile,Medium,Poor
46,27,30.6,2022,Kids,34.17,Xbox,High,Average
47,14,39.2,2012,Kids,49.71,Xbox,Low,Poor
48,23,38.6,2020,Teens,47.89,Nintendo Switch,Ultra,Excellent
49,8,32.7,2020,Teens,48.32,Mobile,Ultra,Poor
50,2,29.9,2011,Teens,34.71,Mobile,High,Excellent
51,13,27.5,2023,All Ages,54.59,Nintendo Switch,High,Poor
52,27,34.8,2015,Kids,42.75,Nintendo Switch,Low,Poor
53,28,44.3,2010,All Ages,59.32,PlayStation,Medium,Good
54,7,28.8,2018,Adults,39.53,PC,Ultra,Average
55,24,29.9,2010,Teens,51.73,Xbox,Low,Average
56,29,30.2,2018,All Ages,51.02,Mobile,Medium,Average
57,30,19.1,2010,Teens,23.08,Nintendo Switch,Low,Average
58,22,14.4,2016,Teens,25.33,Xbox,Medium,Good
59,31,30.8,2021,Teens,40.29,Xbox,Ultra,Good
60,10,17.6,2017,Kids,23.81,PC,Low,Good
61,28,28.9,2019,All Ages,33.56,PC,High,Good
62,1,30.6,2018,Teens,39.26,PlayStation,Medium,Average
63,21,39.5,2013,Adults,48.85,PC,Low,Good
64,13,39.7,2019,Adults,51.64,Mobile,Medium,Good
65,32,29.6,2014,Adults,28.04,PC,Low,Poor
66,32,29.9,2022,Kids,48.76,Nintendo Switch,High,Poor
67,21,29.9,2023,Adults,43.8,Mobile,Ultra,Good
68,5,34.8,2020,Kids,40.85,Mobile,Low,Poor
69,20,23.3,2019,Kids,39.48,PlayStation,Ultra,Poor
70,16,29.6,2015,All Ages,44.04,Xbox,Low,Good
71,27,36.6,2022,Adults,55.05,PlayStation,Ultra,Poor
72,17,34.7,2019,Adults,40.92,PC,Low,Good
73,1,41.0,2014,Kids,50.47,Nintendo Switch,High,Good
74,16,29.1,2018,Kids,33.71,PlayStation,Ultra,Average
75,17,32.0,2012,Kids,55.83,Mobile,High,Average
76,33,33.9,2019,Kids,40.54,PlayStation,Medium,Good
77,23,38.3,2015,Teens,41.73,PC,High,Average
78,5,37.5,2013,Kids,37.8,PC,Ultra,Poor
79,30,28.9,2013,Adults,45.82,Nintendo Switch,Medium,Good
80,21,22.5,2015,Kids,23.29,PlayStation,Medium,Poor
81,34,24.6,2023,Kids,32.69,PlayStation,Ultra,Poor
82,34,25.0,2015,Kids,30.01,Mobile,Low,Poor
83,32,34.1,2018,Kids,41.18,PC,Low,Average
84,4,37.5,2019,Adults,40.63,Xbox,Ultra,Poor
85,34,31.9,2012,Teens,35.76,PC,Low,Poor
