user,item,rating,timestamp,feature
0,0,4.9,2013,995.0
1,1,4.9,2018,313.5
2,2,4.8,1999,692.96
3,2,4.8,1996,778.06
4,2,4.8,1998,490.0
5,2,4.8,2010,349.0
6,2,4.8,1995,810.89
7,3,4.8,2015,345.0
8,2,4.8,2011,315.0
9,4,4.8,2016,105.15
10,3,4.8,2018,430.0
11,2,4.8,1970,925.0
8,5,4.8,1946,350.0
1,6,4.8,2015,166.18
12,2,4.8,1962,1620.0
13,3,4.8,2019,431.36
14,7,4.8,2018,195.627379550654
14,8,4.8,N.V.,253.0
15,3,4.8,2013,570.51
8,9,4.8,2016,1280.0
16,5,4.8,1931,244.85
17,3,4.8,2010,719.34
18,2,4.8,1979,815.0
16,10,4.8,1946,285.86
19,11,4.8,2004,1410.26
20,3,4.8,2005,813.96
21,3,4.8,2020,435.75
22,12,4.8,2014,369.05
23,3,4.8,1985,1182.77
24,5,4.8,1929,227.95
25,13,4.8,1999,999.0
26,14,4.8,2007,360.0
6,9,4.8,2017,1150.0
27,0,4.8,2009,950.0
28,15,4.8,2016,544.5
4,0,4.8,2011,1295.0
29,11,4.8,2017,992.2
30,0,4.8,2015,1289.44
31,16,4.8,2017,1098.9
32,17,4.8,1985,215.34
24,18,4.7,2010,239.5
33,18,4.7,2014,175.5
34,2,4.7,2005,381.15
35,2,4.7,2004,584.43
36,2,4.7,2000,555.2
37,2,4.7,2007,445.28
38,2,4.7,2006,362.25
39,2,4.7,2003,325.0
40,18,4.7,2016,107.57
22,18,4.7,2005,234.0
31,2,4.7,2002,500.94
41,2,4.7,1991,698.9
27,2,4.7,1994,872.47
35,3,4.7,2000,877.85
7,2,4.7,1990,827.94
42,6,4.7,2014,113.18
29,2,4.7,1989,679.72
43,3,4.7,2017,480.06
44,4,4.7,2015,75.1
45,7,4.7,2014,154.9
46,7,4.7,2013,145.0
26,3,4.7,1996,290.0
7,19,4.7,1986,795.0
47,7,4.7,2016,371.78009750522
42,7,4.7,2008,134.19
19,20,4.7,2015,82.58
37,3,4.7,2007,774.4
48,21,4.7,2016,84.95
49,9,4.7,2001,940.0
50,22,4.7,2016,116.54
51,9,4.7,2004,1500.0
52,9,4.7,2006,1190.0
53,7,4.7,2017,154.85
44,23,4.7,2016,135.0
54,24,4.7,2015,63.75
55,2,4.7,1985,827.94
55,25,4.7,2017,66.07
49,26,4.7,2012,213.9
56,27,4.7,2006,234.9
57,2,4.7,1968,2087.25
58,20,4.7,2018,89.9
59,2,4.7,1964,1384.54
60,2,4.7,1982,820.98
18,9,4.7,2015,1250.0
61,3,4.7,1995,1500.0
62,9,4.7,1999,1715.18
20,2,4.7,1974,932.3
63,11,4.7,1998,1372.14
59,28,4.7,2015,78.9
46,3,4.7,2012,660.96
64,29,4.7,2009,154.0
61,18,4.7,2017,134.89
65,11,4.7,2000,1422.96
20,30,4.7,2005,207.11
4,3,4.7,2011,340.49
53,31,4.7,2010,317.63
66,32,4.7,2011,108.9
52,2,4.7,1983,700.0
6,5,4.7,1955,185.0
67,2,4.7,1980,911.43
28,26,4.7,2005,1150.0
68,2,4.7,1972,698.95
55,30,4.7,2004,2814.16
69,33,4.7,2015,527.26
1,3,4.7,1987,1071.45
70,34,4.7,2016,43.13
71,2,4.7,1953,1207.6
51,35,4.7,2000,175.0
72,11,4.7,2015,1252.35
73,7,4.7,2019,145.9
74,36,4.7,2013,447.95
25,3,4.7,2006,813.96
70,11,4.7,2005,1410.26
3,37,4.7,2006,182.9
75,38,4.7,2007,99.0
76,3,4.7,1986,1113.2
77,29,4.7,2016,134.26
42,39,4.7,N.V.,380.0
5,17,4.7,1982,292.09
19,40,4.7,1987,400.85
50,41,4.7,2007,202.01
78,10,4.7,1955,250.0
43,20,4.7,2019,88.9
60,42,4.7,2016,77.9
12,5,4.7,1958,191.61
8,23,4.7,2018,123.89
15,43,4.7,N.V.,114.28
26,44,4.7,N.V.,95.57
68,45,4.7,2018,93.95
64,46,4.7,2012,248.0
79,1,4.7,1995,397.0
6,47,4.7,2019,194.86
56,48,4.7,2011,65.05
5,25,4.7,2019,86.9
73,14,4.7,2004,472.5
79,49,4.7,2010,379.0
74,50,4.7,1998,94.2
47,51,4.7,2018,46.0
14,52,4.7,1987,81.9
80,53,4.7,1942,680.0
81,18,4.6,2011,218.0
44,18,4.6,2012,177.0
38,18,4.6,2008,187.3
46,18,4.6,2007,195.59
3,18,4.6,2013,135.0
47,18,4.6,2009,225.2
16,54,4.6,2016,79.8
15,55,4.6,2017,116.187943627787
49,55,4.6,2018,89.3
5,53,4.6,2010,438.9
82,18,4.6,2004,249.0
83,56,4.6,2018,129.95
42,55,4.6,2019,76.95
8,18,4.6,2000,252.0
51,18,4.6,2002,232.0
69,30,4.6,2012,214.0
46,30,4.6,2011,205.0
11,57,4.6,2015,49.95
27,18,4.6,1999,276.8
73,21,4.6,2015,75.0
84,9,4.6,2010,1359.75
65,6,4.6,2010,81.5
85,9,4.6,2012,890.0
10,58,4.6,2015,43.5
24,22,4.6,2015,99.0
59,9,4.6,2013,1198.72
56,25,4.6,2015,94.95
27,25,4.6,2016,89.0
36,9,4.6,2005,1785.96
83,20,4.6,2017,108.21
19,9,4.6,1998,1350.0
73,35,4.6,2007,145.0
69,35,4.6,2012,173.38
44,26,4.6,2011,220.0
23,59,4.6,2017,85.7
85,2,4.6,1965,2884.04
24,60,4.6,2015,79.9
86,61,4.6,2018,68.7
70,9,4.6,2003,1638.95
65,62,4.6,2004,150.0
87,57,4.6,2016,48.95
88,29,4.6,2014,109.41
2,22,4.6,2014,119.0
60,18,4.6,1992,195.0
2,9,4.6,2014,1595.0
3,1,4.6,2010,519.55
28,29,4.6,2012,89.0
39,1,4.6,2011,511.9
84,11,4.6,1999,980.0
63,63,4.6,2015,73.0
37,1,4.6,2012,280.0
56,26,4.6,2014,251.99
87,28,4.6,2014,61.69
89,11,4.6,1996,1372.14
67,30,4.6,2014,210.5
66,18,4.6,1985,285.0
88,64,4.6,2001,245.75
58,18,4.6,1989,228.57
20,26,4.6,2015,319.9
48,1,4.6,2005,325.0
90,65,4.6,2011,345.0
27,66,4.6,2018,58.9
91,27,4.6,2005,159.0
19,67,4.6,2013,69.9
72,3,4.6,1989,895.4
60,23,4.6,2017,147.85
92,25,4.6,2018,88.05
7,68,4.6,2001,301.0
21,1,4.6,2014,275.0
17,2,4.6,1967,1106.24
74,69,4.6,2016,64.9
35,9,4.6,2000,1503.0
45,11,4.6,1995,1372.14
87,1,4.6,2015,241.55
90,70,4.6,2013,89.17
48,2,4.6,1975,769.9
37,0,4.6,2019,67.94
30,71,4.6,2016,44.0
7,1,4.6,2009,445.0
18,72,4.6,2010,87.02
56,3,4.6,2009,747.17
93,58,4.6,2018,49.95
10,73,4.6,2018,50.51
57,74,4.6,2004,157.4
52,32,4.6,2015,120.9
41,9,4.6,1996,1746.94
44,75,4.6,2015,75.3
94,57,4.6,2018,47.5
86,2,4.6,2012,359.9
34,0,4.6,2019,43.5
77,76,4.6,2005,136.0
42,77,4.6,2006,117.239420060872
82,29,4.6,2011,135.0
84,78,4.6,2013,82.5
64,35,4.6,2017,149.9
25,79,4.6,2015,59.0
39,80,4.6,2011,82.5
93,53,4.6,2011,195.0
45,18,4.6,1980,195.0
11,81,4.6,2016,54.5
64,82,4.6,2015,79.1
3,83,4.6,2004,272.0
3,84,4.6,2014,99.0
30,85,4.6,N.V.,189.99
57,31,4.6,2011,317.63
38,86,4.6,2007,399.6
0,87,4.6,1910,701.05
39,48,4.6,2008,74.9
33,88,4.6,2008,654.31
26,18,4.6,1983,247.75
42,89,4.6,1965,144.99
23,11,4.6,2001,945.0
95,90,4.6,2016,126.64
19,91,4.6,2008,162.38
26,92,4.6,2001,81.0
85,11,4.6,2010,2750.0
35,59,4.6,2001,121.0
16,93,4.6,2016,355.95
40,94,4.6,2001,164.66
78,32,4.6,2016,120.9
62,95,4.6,2014,218.9
93,96,4.6,2016,65.95
77,70,4.6,2014,86.0
