data_set_name,num_users,num_items,num_interactions,density,feedback_type,user_item_ratio,item_user_ratio,highest_num_rating_by_single_user,lowest_num_rating_by_single_user,highest_num_rating_on_single_item,lowest_num_rating_on_single_item,mean_num_ratings_by_user,mean_num_ratings_on_item
adidasvsnike,1531,3179,3179,0.06531678641410843,explicit,0.4815979867882982,2.076420640104507,16,1,1,1,2.076420640104507,1.0
airlines,22305,497,22329,0.20142374083099807,explicit,44.87927565392354,0.02228199955167003,2,1,100,1,1.0010759919300605,44.927565392354126
airlinesreviews,6583,10,7143,10.850675983594106,explicit,658.3,0.0015190642564180464,7,1,1546,182,1.0850675983594107,714.3
animes,190308,8113,192112,0.012442738447971906,explicit,23.457167508936276,0.042630893078588396,3,1,1708,1,1.0094793702839608,23.679526685566376
books,100,11123,11123,1.0,explicit,0.008990380293086398,111.23,137,86,1,1,111.23,1.0
clothes,23457,1206,23485,0.083017717539825,explicit,19.450248756218905,0.05141322419746771,2,1,1024,1,1.0011936735302895,19.473466003316748
disneylandreviews,100,3,300,100.0,explicit,33.333333333333336,0.03,3,3,100,100,3.0,100.0
hotelssecond,9997,1846,10000,0.054187437162893176,explicit,5.415492957746479,0.1846553966189857,2,1,202,1,1.000300090027008,5.417118093174431
iphone,3061,7,3062,14.290381294628274,explicit,437.2857142857143,0.0022868343678536427,2,1,946,81,1.0003266906239792,437.42857142857144
laptops,24079,365,24113,0.2743594571976832,explicit,65.96986301369863,0.015158436812159974,2,1,400,1,1.0014120187715436,66.06301369863014
products,70715,596,70969,0.16838789981716,explicit,118.6493288590604,0.008428197694972777,2,1,8603,1,1.0035918829102737,119.0755033557047
productssecond,14328,10,14335,10.004885538805137,explicit,1432.8,0.0006979341150195422,2,1,5000,23,1.0004885538805137,1433.5
rottentomatoesmovies,100,15870,16382,1.032262129804663,explicit,0.00630119722747322,158.7,201,135,5,1,163.82,1.0322621298046628
ryanairreviews,100,7,480,68.57142857142857,explicit,14.285714285714286,0.07,6,3,100,1,4.8,68.57142857142857
starbucks,525,537,700,0.2482929857231533,explicit,0.9776536312849162,1.022857142857143,11,1,11,1,1.3333333333333333,1.303538175046555
videogamessecond,47664,40,47771,2.505612202081235,explicit,1191.6,0.0008392077878482712,2,1,1274,1118,1.0022448808324942,1194.275
winesspa,100,846,3952,4.671394799054374,explicit,0.1182033096926714,8.46,50,25,100,1,39.52,4.671394799054373
