data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,train_users,test_users,users_to_predict,prediction_time
MovieLens-100K,BPR,0,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_0/BPR-Apr-25-2025_15-04-30.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.4403526782989502
MovieLens-100K,BPR,1,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_1/BPR-Apr-25-2025_15-04-44.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.4053671360015869
MovieLens-100K,BPR,2,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_2/BPR-Apr-25-2025_15-04-56.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.4010331630706787
MovieLens-100K,BPR,3,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_3/BPR-Apr-25-2025_15-05-12.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.36933302879333496
MovieLens-100K,BPR,4,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_4/BPR-Apr-25-2025_15-05-24.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.3979635238647461
MovieLens-100K,CDAE,0,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_0/CDAE-Apr-25-2025_15-06-33.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.6033420562744141
MovieLens-100K,CDAE,1,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_1/CDAE-Apr-25-2025_15-06-41.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.605233907699585
MovieLens-100K,CDAE,2,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_2/CDAE-Apr-25-2025_15-06-48.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.6292471885681152
MovieLens-100K,CDAE,3,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_3/CDAE-Apr-25-2025_15-06-58.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.6147716045379639
MovieLens-100K,CDAE,4,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_4/CDAE-Apr-25-2025_15-07-05.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.6347036361694336
MovieLens-100K,ConvNCF,0,./data_sets/MovieLens-100K/checkpoint_ConvNCF/config_0/fold_0/ConvNCF-Apr-25-2025_17-39-20.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,14.051977396011353
MovieLens-100K,ConvNCF,1,./data_sets/MovieLens-100K/checkpoint_ConvNCF/config_0/fold_1/ConvNCF-Apr-25-2025_17-53-06.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,13.94426679611206
MovieLens-100K,ConvNCF,2,./data_sets/MovieLens-100K/checkpoint_ConvNCF/config_0/fold_2/ConvNCF-Apr-25-2025_18-04-50.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,14.07553505897522
MovieLens-100K,ConvNCF,3,./data_sets/MovieLens-100K/checkpoint_ConvNCF/config_0/fold_3/ConvNCF-Apr-25-2025_18-18-27.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,15.018870830535889
MovieLens-100K,ConvNCF,4,./data_sets/MovieLens-100K/checkpoint_ConvNCF/config_0/fold_4/ConvNCF-Apr-25-2025_18-30-34.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,14.276856660842896
MovieLens-100K,DGCF,0,./data_sets/MovieLens-100K/checkpoint_DGCF/config_0/fold_0/DGCF-Apr-25-2025_13-49-50.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.8307545185089111
MovieLens-100K,DGCF,1,./data_sets/MovieLens-100K/checkpoint_DGCF/config_0/fold_1/DGCF-Apr-25-2025_14-13-03.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.8447105884552002
MovieLens-100K,DGCF,2,./data_sets/MovieLens-100K/checkpoint_DGCF/config_0/fold_2/DGCF-Apr-25-2025_14-28-58.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.8208911418914795
MovieLens-100K,DGCF,3,./data_sets/MovieLens-100K/checkpoint_DGCF/config_0/fold_3/DGCF-Apr-25-2025_14-40-08.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.8089838027954102
MovieLens-100K,DGCF,4,./data_sets/MovieLens-100K/checkpoint_DGCF/config_0/fold_4/DGCF-Apr-25-2025_14-51-02.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.9554474353790283
