,data_set_name,model,config,fold,fit,predict,evaluate
0,Amazon2014-Beauty,ConvNCF,0,2,True,True,True
1,Amazon2014-Beauty,ConvNCF,0,4,True,True,True
2,Amazon2014-Beauty,ConvNCF,0,3,True,True,True
3,Amazon2014-Beauty,ConvNCF,0,1,True,True,True
4,Amazon2014-Beauty,ConvNCF,0,0,True,True,True
5,Amazon2014-Beauty,DiffRec,0,2,True,True,True
6,Amazon2014-Beauty,DiffRec,0,4,True,True,True
7,Amazon2014-Beauty,DiffRec,0,3,True,True,True
8,Amazon2014-Beauty,DiffRec,0,1,True,True,True
9,Amazon2014-Beauty,DiffRec,0,0,True,True,True
10,Amazon2014-Beauty,MultiVAE,0,2,True,True,True
11,Amazon2014-Beauty,MultiVAE,0,4,True,True,True
12,Amazon2014-Beauty,MultiVAE,0,3,True,True,True
13,Amazon2014-Beauty,MultiVAE,0,1,True,True,True
14,Amazon2014-Beauty,MultiVAE,0,0,True,True,True
15,Amazon2014-Beauty,SGL,0,2,True,True,True
16,Amazon2014-Beauty,SGL,0,4,True,True,True
17,Amazon2014-Beauty,SGL,0,3,True,True,True
18,Amazon2014-Beauty,SGL,0,1,True,True,True
19,Amazon2014-Beauty,SGL,0,0,True,True,True
20,Amazon2014-Beauty,DGCF,0,2,True,True,True
21,Amazon2014-Beauty,DGCF,0,4,True,True,True
22,Amazon2014-Beauty,DGCF,0,3,True,True,True
23,Amazon2014-Beauty,DGCF,0,1,True,True,True
24,Amazon2014-Beauty,DGCF,0,0,True,True,True
25,Amazon2014-Beauty,ItemKNN,0,2,True,True,True
26,Amazon2014-Beauty,ItemKNN,0,4,True,True,True
27,Amazon2014-Beauty,ItemKNN,0,3,True,True,True
28,Amazon2014-Beauty,ItemKNN,0,1,True,True,True
29,Amazon2014-Beauty,ItemKNN,0,0,True,True,True
30,Amazon2014-Beauty,SimpleX,0,2,True,True,True
31,Amazon2014-Beauty,SimpleX,0,4,True,True,True
32,Amazon2014-Beauty,SimpleX,0,3,True,True,True
33,Amazon2014-Beauty,SimpleX,0,1,True,True,True
34,Amazon2014-Beauty,SimpleX,0,0,True,True,True
35,Amazon2014-Beauty,LDiffRec,0,2,True,True,True
36,Amazon2014-Beauty,LDiffRec,0,4,True,True,True
37,Amazon2014-Beauty,LDiffRec,0,3,True,True,True
38,Amazon2014-Beauty,LDiffRec,0,1,True,True,True
39,Amazon2014-Beauty,LDiffRec,0,0,True,True,True
40,Amazon2014-Beauty,LightGCN,0,2,True,True,True
41,Amazon2014-Beauty,LightGCN,0,4,True,True,True
42,Amazon2014-Beauty,LightGCN,0,3,True,True,True
43,Amazon2014-Beauty,LightGCN,0,1,True,True,True
44,Amazon2014-Beauty,LightGCN,0,0,True,True,True
45,Amazon2014-Beauty,NGCF,0,2,True,True,True
46,Amazon2014-Beauty,NGCF,0,4,True,True,True
47,Amazon2014-Beauty,NGCF,0,3,True,True,True
48,Amazon2014-Beauty,NGCF,0,1,True,True,True
49,Amazon2014-Beauty,NGCF,0,0,True,True,True
50,Amazon2014-Beauty,NAIS,0,2,True,True,True
51,Amazon2014-Beauty,NAIS,0,4,True,True,True
52,Amazon2014-Beauty,NAIS,0,3,True,True,True
53,Amazon2014-Beauty,NAIS,0,1,True,True,True
54,Amazon2014-Beauty,NAIS,0,0,True,True,True
55,Amazon2014-Beauty,FISM,0,2,True,True,True
56,Amazon2014-Beauty,FISM,0,4,True,True,True
57,Amazon2014-Beauty,FISM,0,3,True,True,True
58,Amazon2014-Beauty,FISM,0,1,True,True,True
59,Amazon2014-Beauty,FISM,0,0,True,True,True
60,Amazon2014-Beauty,RecVAE,0,2,True,True,True
61,Amazon2014-Beauty,RecVAE,0,4,True,True,True
62,Amazon2014-Beauty,RecVAE,0,3,True,True,True
63,Amazon2014-Beauty,RecVAE,0,1,True,True,True
64,Amazon2014-Beauty,RecVAE,0,0,True,True,True
65,Amazon2014-Beauty,NNCF,0,2,True,True,True
66,Amazon2014-Beauty,NNCF,0,4,True,True,True
67,Amazon2014-Beauty,NNCF,0,3,True,True,True
68,Amazon2014-Beauty,NNCF,0,1,True,True,True
69,Amazon2014-Beauty,NNCF,0,0,True,True,True
70,Amazon2014-Beauty,GCMC,0,2,True,True,True
71,Amazon2014-Beauty,GCMC,0,4,True,True,True
72,Amazon2014-Beauty,GCMC,0,3,True,True,True
73,Amazon2014-Beauty,GCMC,0,1,True,True,True
74,Amazon2014-Beauty,GCMC,0,0,True,True,True
75,Amazon2014-Beauty,LINE,0,2,True,True,True
76,Amazon2014-Beauty,LINE,0,4,True,True,True
77,Amazon2014-Beauty,LINE,0,3,True,True,True
78,Amazon2014-Beauty,LINE,0,1,True,True,True
79,Amazon2014-Beauty,LINE,0,0,True,True,True
80,Amazon2014-Beauty,ENMF,0,2,True,True,True
81,Amazon2014-Beauty,ENMF,0,4,True,True,True
82,Amazon2014-Beauty,ENMF,0,3,True,True,True
83,Amazon2014-Beauty,ENMF,0,1,True,True,True
84,Amazon2014-Beauty,ENMF,0,0,True,True,True
85,Amazon2014-Beauty,NCEPLRec,0,2,True,True,True
86,Amazon2014-Beauty,NCEPLRec,0,4,True,True,True
87,Amazon2014-Beauty,NCEPLRec,0,3,True,True,True
88,Amazon2014-Beauty,NCEPLRec,0,1,True,True,True
89,Amazon2014-Beauty,NCEPLRec,0,0,True,True,True
90,Amazon2014-Beauty,Random,0,2,True,True,True
91,Amazon2014-Beauty,Random,0,4,True,True,True
92,Amazon2014-Beauty,Random,0,3,True,True,True
93,Amazon2014-Beauty,Random,0,1,True,True,True
94,Amazon2014-Beauty,Random,0,0,True,True,True
95,Amazon2014-Beauty,EASE,0,2,True,True,True
96,Amazon2014-Beauty,EASE,0,4,True,True,True
97,Amazon2014-Beauty,EASE,0,3,True,True,True
98,Amazon2014-Beauty,EASE,0,1,True,True,True
99,Amazon2014-Beauty,EASE,0,0,True,True,True
100,Amazon2014-Beauty,Pop,0,2,True,True,True
101,Amazon2014-Beauty,Pop,0,4,True,True,True
102,Amazon2014-Beauty,Pop,0,3,True,True,True
103,Amazon2014-Beauty,Pop,0,1,True,True,True
104,Amazon2014-Beauty,Pop,0,0,True,True,True
105,Amazon2014-Beauty,CDAE,0,2,True,True,True
106,Amazon2014-Beauty,CDAE,0,4,True,True,True
107,Amazon2014-Beauty,CDAE,0,3,True,True,True
108,Amazon2014-Beauty,CDAE,0,1,True,True,True
109,Amazon2014-Beauty,CDAE,0,0,True,True,True
110,Amazon2014-Beauty,MacridVAE,0,2,True,True,True
111,Amazon2014-Beauty,MacridVAE,0,4,True,True,True
112,Amazon2014-Beauty,MacridVAE,0,3,True,True,True
113,Amazon2014-Beauty,MacridVAE,0,1,True,True,True
114,Amazon2014-Beauty,MacridVAE,0,0,True,True,True
115,Amazon2014-Beauty,BPR,0,2,True,True,True
116,Amazon2014-Beauty,BPR,0,4,True,True,True
117,Amazon2014-Beauty,BPR,0,3,True,True,True
118,Amazon2014-Beauty,BPR,0,1,True,True,True
119,Amazon2014-Beauty,BPR,0,0,True,True,True
120,Amazon2014-Beauty,DMF,0,2,True,True,True
121,Amazon2014-Beauty,DMF,0,4,True,True,True
122,Amazon2014-Beauty,DMF,0,3,True,True,True
123,Amazon2014-Beauty,DMF,0,1,True,True,True
124,Amazon2014-Beauty,DMF,0,0,True,True,True
125,Amazon2014-Beauty,SpectralCF,0,2,True,True,True
126,Amazon2014-Beauty,SpectralCF,0,4,True,True,True
127,Amazon2014-Beauty,SpectralCF,0,3,True,True,True
128,Amazon2014-Beauty,SpectralCF,0,1,True,True,True
129,Amazon2014-Beauty,SpectralCF,0,0,True,True,True
130,Amazon2014-Beauty,MultiDAE,0,2,True,True,True
131,Amazon2014-Beauty,MultiDAE,0,4,True,True,True
132,Amazon2014-Beauty,MultiDAE,0,3,True,True,True
133,Amazon2014-Beauty,MultiDAE,0,1,True,True,True
134,Amazon2014-Beauty,MultiDAE,0,0,True,True,True
135,Amazon2014-Beauty,NCL,0,2,True,True,True
136,Amazon2014-Beauty,NCL,0,4,True,True,True
137,Amazon2014-Beauty,NCL,0,3,True,True,True
138,Amazon2014-Beauty,NCL,0,1,True,True,True
139,Amazon2014-Beauty,NCL,0,0,True,True,True
140,Amazon2014-Beauty,NeuMF,0,2,True,True,True
141,Amazon2014-Beauty,NeuMF,0,4,True,True,True
142,Amazon2014-Beauty,NeuMF,0,3,True,True,True
143,Amazon2014-Beauty,NeuMF,0,1,True,True,True
144,Amazon2014-Beauty,NeuMF,0,0,True,True,True
145,Personality,ConvNCF,0,2,True,True,True
146,Personality,ConvNCF,0,4,True,True,True
147,Personality,ConvNCF,0,3,True,True,True
148,Personality,ConvNCF,0,1,True,True,True
149,Personality,ConvNCF,0,0,True,True,True
150,Personality,DiffRec,0,2,True,True,True
151,Personality,DiffRec,0,4,True,True,True
152,Personality,DiffRec,0,3,True,True,True
153,Personality,DiffRec,0,1,True,True,True
154,Personality,DiffRec,0,0,True,True,True
155,Personality,MultiVAE,0,2,True,True,True
156,Personality,MultiVAE,0,4,True,True,True
157,Personality,MultiVAE,0,3,True,True,True
158,Personality,MultiVAE,0,1,True,True,True
159,Personality,MultiVAE,0,0,True,True,True
160,Personality,SGL,0,2,True,True,True
